user_id,event_count_30d,active_days_30d,user_activity_level
user_001,110,19,high
user_002,97,27,high
user_003,94,19,high
user_004,134,29,high
user_005,107,27,high
user_006,121,31,high
user_007,69,17,high
user_008,104,27,high
user_009,95,24,high
user_010,84,24,high
user_011,108,30,high
user_012,129,25,high
user_013,85,18,high
user_014,89,20,high
user_015,93,23,high
user_016,112,27,high
user_017,106,23,high
user_018,85,20,high
user_019,82,20,high
user_020,82,20,high
user_021,92,18,high
user_022,90,26,high
user_023,101,29,high
user_024,125,31,high
user_025,116,27,high
user_026,82,18,high
user_027,123,28,high
user_028,94,21,high
user_029,102,27,high
user_030,115,24,high
user_031,73,19,high
user_032,123,26,high
user_033,127,30,high
user_034,80,19,high
user_035,117,22,high
user_036,88,20,high
user_037,125,30,high
user_038,88,22,high
user_039,96,21,high
user_040,93,21,high
user_041,107,27,high
user_042,87,18,high
user_043,80,17,high
user_044,69,15,high
user_045,91,18,high
user_046,84,22,high
user_047,114,23,high
user_048,71,16,high
user_049,143,29,high
user_050,85,21,high
user_051,109,23,high
user_052,111,31,high
user_053,101,21,high
user_054,117,25,high
user_055,95,21,high
user_056,99,24,high
user_057,119,25,high
user_058,111,30,high
user_059,90,21,high
user_060,102,30,high
user_061,34,10,middle
user_062,32,11,middle
user_063,76,29,high
user_064,37,11,middle
user_065,69,28,high
user_066,28,9,middle
user_067,33,12,middle
user_068,45,14,middle
user_069,49,18,high
user_070,31,12,middle
user_071,33,13,middle
user_072,35,13,middle
user_073,45,14,middle
user_074,67,30,high
user_075,27,9,middle
user_076,38,13,middle
user_077,31,10,middle
user_078,57,27,high
user_079,40,13,middle
user_080,39,19,high
user_081,54,22,high
user_082,39,15,high
user_083,34,10,middle
user_084,37,14,middle
user_085,42,14,middle
user_086,24,11,middle
user_087,43,22,high
user_088,20,9,middle
user_089,32,14,middle
user_090,30,11,middle
user_091,74,30,high
user_092,26,11,middle
user_093,34,16,high
user_094,58,25,high
user_095,38,14,middle
user_096,33,16,high
user_097,33,12,middle
user_098,27,12,middle
user_099,28,10,middle
user_100,58,30,high
user_101,39,12,middle
user_102,24,10,middle
user_103,46,14,middle
user_104,26,12,middle
user_105,48,18,high
user_106,57,29,high
user_107,50,26,high
user_108,71,29,high
user_109,44,19,high
user_110,52,14,middle
user_111,55,20,high
user_112,35,19,high
user_113,34,13,middle
user_114,38,10,middle
user_115,29,13,middle
user_116,20,7,middle
user_117,31,13,middle
user_118,35,11,middle
user_119,29,13,middle
user_120,46,28,high
user_121,36,16,high
user_122,37,19,high
user_123,43,22,high
user_124,35,11,middle
user_125,16,8,middle
user_126,57,22,high
user_127,48,21,high
user_128,66,21,high
user_129,34,9,middle
user_130,40,21,high
user_131,39,12,middle
user_132,44,21,high
user_133,33,12,middle
user_134,50,19,high
user_135,39,15,high
user_136,60,24,high
user_137,32,13,middle
user_138,37,11,middle
user_139,41,19,high
user_140,22,7,middle
user_141,5,2,low
user_142,39,25,high
user_143,44,22,high
user_144,16,4,middle
user_145,14,7,middle
user_146,30,20,high
user_147,12,10,middle
user_148,41,22,high
user_149,2,2,low
user_150,15,11,middle
user_151,13,8,middle
user_152,10,7,middle
user_153,34,16,high
user_154,45,29,high
user_155,27,17,high
user_156,10,10,middle
user_157,30,20,high
user_158,5,2,low
user_159,32,27,high
user_160,18,11,middle
user_161,28,15,high
user_162,46,28,high
user_163,23,16,high
user_164,12,8,middle
user_165,37,23,high
user_166,51,30,high
user_167,23,17,high
user_168,20,7,middle
user_169,5,2,low
user_170,11,9,middle
user_171,42,30,high
user_172,25,11,middle
user_173,54,28,high
user_174,13,8,middle
user_175,13,4,middle
user_176,21,9,middle
user_177,53,27,high
user_178,52,30,high
user_179,16,15,high
user_180,9,9,middle
user_181,45,26,high
user_182,20,10,middle
user_183,22,13,middle
user_184,14,12,middle
user_185,46,28,high
user_186,18,16,high
user_187,16,4,middle
user_188,41,22,high
user_189,3,1,low
user_190,10,3,low
user_191,15,12,middle
user_192,41,28,high
user_193,21,15,high
user_194,13,9,middle
user_195,16,16,high
user_196,39,29,high
user_197,32,28,high
user_198,32,23,high
user_199,13,6,middle
user_200,20,19,high
user_201,12,11,middle
user_202,6,2,low
user_203,4,4,middle
user_204,54,30,high
user_205,12,7,middle
user_206,18,5,middle
user_207,34,9,middle
user_208,29,13,middle
user_209,20,11,middle
user_210,38,26,high
user_211,22,9,middle
user_212,2,2,low
user_213,25,17,high
user_214,15,11,middle
user_215,35,28,high
user_216,50,27,high
user_217,25,9,middle
user_218,10,7,middle
user_219,18,16,high
user_220,1,1,low
user_221,28,17,high
user_222,31,17,high
user_223,12,3,low
user_224,36,29,high
user_225,13,8,middle
user_226,14,5,middle
user_227,13,7,middle
user_228,8,8,middle
user_229,11,5,middle
user_230,12,6,middle
user_231,7,6,middle
user_232,16,6,middle
user_233,12,7,middle
user_234,51,28,high
user_235,16,11,middle
user_236,7,2,low
user_237,10,5,middle
user_238,29,18,high
user_239,10,5,middle
user_240,26,17,high
