user_id,action_name,period_type,period_value,next_expected_time,confidence,evidence,preferred_time_window
user_000001,大样本周期_daily_0776,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000002,大样本周期_daily_0048,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000007,大样本周期_interval_0315,interval,every 13 days,2026-06-30 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000012,大样本周期_interval_0519,interval,every 11 days,2026-06-30 18:00:00,0.927628,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.06,evening
user_000013,银行卡管理,daily,every 1 day,2026-07-01 10:00:00,0.765833,最近 7 天内 3 个活跃日平均间隔 1.5 天,morning
user_000013,大样本周期_weekly_0877,weekly,weekday=2,2026-07-01 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 3,morning
user_000014,大样本周期_monthly_0566,monthly,day≈15,2026-07-15 12:00:00,0.964182,最近 186 天内 100% 的行为集中在每月 15 日前后,noon
user_000016,大样本周期_weekly_0809,weekly,weekday=4,2026-07-03 06:00:00,1.0,最近 56 天内 100% 的行为发生在星期 5,morning
user_000022,大样本周期_daily_0904,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 7 个活跃日平均间隔 1.0 天,night
user_000023,大样本周期_monthly_0278,monthly,day≈15,2026-07-15 12:00:00,0.964182,最近 186 天内 100% 的行为集中在每月 15 日前后,noon
user_000024,结构性存款,monthly,day≈3,2026-07-03 03:00:00,0.864765,最近 186 天内 100% 的行为集中在每月 3 日前后,afternoon
user_000024,银行卡管理,monthly,day≈3,2026-07-03 11:00:00,0.791167,最近 186 天内 75% 的行为集中在每月 3 日前后,noon
user_000025,大样本周期_daily_0164,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000028,大样本周期_daily_0476,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000029,大样本周期_interval_0311,interval,every 11 days,2026-07-09 18:00:00,0.940926,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.04,evening
user_000036,大样本周期_monthly_0518,monthly,day≈15,2026-07-15 12:00:00,0.964182,最近 186 天内 100% 的行为集中在每月 15 日前后,noon
user_000038,大样本周期_interval_0939,interval,every 13 days,2026-06-30 18:00:00,0.965,最近 6 个活跃日相邻行为间隔约 13 天，CV=0.00,evening
user_000039,大样本周期_weekly_0021,weekly,weekday=0,2026-07-06 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 1,morning
user_000040,短信验证,monthly,day≈21,2026-07-21 08:00:00,0.880041,最近 186 天内 80% 的行为集中在每月 21 日前后,evening
user_000041,大样本周期_interval_0487,interval,every 11 days,2026-07-10 18:00:00,0.940926,最近 6 个活跃日相邻行为间隔约 11 天，CV=0.04,evening
user_000043,大样本周期_daily_0036,daily,every 1 day,2026-07-01 05:00:00,0.9825,最近 7 天内 6 个活跃日平均间隔 1.0 天,night
user_000049,买黄金,monthly,day≈9,2026-07-09 03:00:00,0.746543,最近 186 天内 75% 的行为集中在每月 9 日前后,evening
user_000049,跨行转入,monthly,day≈3,2026-07-03 09:00:00,0.720242,最近 186 天内 80% 的行为集中在每月 3 日前后,evening
user_000049,大样本周期_weekly_0045,weekly,weekday=3,2026-07-02 06:00:00,0.70504,最近 56 天内 86% 的行为发生在星期 4,morning
