user_id,action_name,recent_count,baseline_count,lift,trend_score,time_window
user_000001,大样本近期高频_0376,5,0.0,10.0,17.917595,7d
user_000003,大样本近期高频_0634,8,0.0,16.0,21.972246,7d
user_000005,大样本近期高频_0740,4,0.0,8.0,12.875503,7d
user_000009,大样本近期高频_0607,6,0.084337,12.0,19.459101,7d
user_000012,大样本近期高频_0119,8,0.084337,16.0,21.972246,7d
user_000013,大样本近期高频_0477,6,0.084337,12.0,19.459101,7d
user_000014,大样本近期高频_0166,5,0.0,10.0,17.917595,7d
user_000016,大样本近期高频_0409,8,0.084337,16.0,21.972246,7d
user_000017,大样本近期高频_0677,6,0.084337,12.0,19.459101,7d
user_000020,大样本近期高频_0652,6,0.0,12.0,19.459101,7d
user_000022,大样本近期高频_0504,8,0.0,16.0,21.972246,7d
user_000028,大样本近期高频_0076,5,0.0,10.0,17.917595,7d
user_000029,查账户明细,4,0.168675,8.0,12.875503,7d
user_000031,大样本近期高频_0728,7,0.0,14.0,20.794415,7d
user_000036,大样本近期高频_0118,7,0.0,14.0,20.794415,7d
user_000038,大样本近期高频_0539,8,0.084337,16.0,21.972246,7d
user_000041,大样本近期高频_0087,6,0.084337,12.0,19.459101,7d
user_000048,大样本近期高频_0605,4,0.084337,8.0,12.875503,7d
user_000051,大样本近期高频_0207,6,0.084337,12.0,19.459101,7d
user_000053,大样本近期高频_0062,6,0.0,12.0,19.459101,7d
user_000055,大样本近期高频_0128,7,0.0,14.0,20.794415,7d
user_000058,大样本近期高频_0544,8,0.0,16.0,21.972246,7d
user_000061,大样本近期高频_0371,5,0.084337,10.0,17.917595,7d
user_000066,查还款结果,4,0.253012,8.0,12.875503,7d
user_000073,大样本近期高频_0261,5,0.084337,10.0,17.917595,7d
user_000074,大样本近期高频_0757,6,0.084337,12.0,19.459101,7d
user_000075,大样本近期高频_0296,5,0.0,10.0,17.917595,7d
user_000079,大样本近期高频_0481,5,0.084337,10.0,17.917595,7d
user_000081,大样本近期高频_0579,8,0.084337,16.0,21.972246,7d
user_000084,大样本近期高频_0761,5,0.084337,10.0,17.917595,7d
user_000090,大样本近期高频_0703,7,0.084337,14.0,20.794415,7d
user_000097,大样本近期高频_0777,6,0.084337,12.0,19.459101,7d
user_000099,大样本近期高频_0799,8,0.084337,16.0,21.972246,7d
user_000100,大样本近期高频_0110,4,0.0,8.0,12.875503,7d
user_000102,大样本近期高频_0583,7,0.084337,14.0,20.794415,7d
user_000103,大样本近期高频_0523,7,0.084337,14.0,20.794415,7d
user_000105,大样本近期高频_0220,4,0.0,8.0,12.875503,7d
user_000106,大样本近期高频_0369,8,0.084337,16.0,21.972246,7d
user_000107,大样本近期高频_0365,4,0.084337,8.0,12.875503,7d
user_000108,大样本近期高频_0286,5,0.0,10.0,17.917595,7d
user_000109,大样本近期高频_0712,6,0.0,12.0,19.459101,7d
user_000113,大样本近期高频_0295,4,0.084337,8.0,12.875503,7d
user_000114,大样本近期高频_0440,4,0.0,8.0,12.875503,7d
user_000115,大样本近期高频_0568,7,0.0,14.0,20.794415,7d
user_000117,大样本近期高频_0448,7,0.0,14.0,20.794415,7d
user_000118,大样本近期高频_0252,6,0.0,12.0,19.459101,7d
user_000120,大样本近期高频_0571,5,0.084337,10.0,17.917595,7d
user_000121,大样本近期高频_0529,8,0.084337,16.0,21.972246,7d
user_000126,大样本近期高频_0724,8,0.0,16.0,21.972246,7d
user_000130,大样本近期高频_0084,8,0.0,16.0,21.972246,7d
user_000131,大样本近期高频_0487,6,0.084337,12.0,19.459101,7d
user_000134,大样本近期高频_0078,7,0.0,14.0,20.794415,7d
user_000135,大样本近期高频_0600,4,0.0,8.0,12.875503,7d
user_000137,大样本近期高频_0614,8,0.0,16.0,21.972246,7d
user_000140,大样本近期高频_0425,4,0.084337,8.0,12.875503,7d
