user_id,action_name,time_period,period_event_count,total_event_count,period_share,active_days,first_time,last_time,time_period_score,rank
user_000001,大样本周期_daily_0776,early_morning,9,9,1.0,9,2026-06-22 05:05:00,2026-06-30 05:13:00,2.302585,1
user_000001,公共流程起点,morning,5,5,1.0,5,2026-05-28 10:00:00,2026-06-22 10:00:00,1.791759,2
user_000001,快捷支付,evening,4,5,0.8,4,2026-03-23 23:47:00,2026-06-21 21:46:00,1.28755,3
user_000001,大样本固定时段_early_morning_0576,early_morning,4,5,0.8,3,2026-05-02 00:23:00,2026-06-19 00:01:00,1.28755,4
user_000001,短信验证,evening,5,7,0.714286,5,2025-12-27 22:43:00,2026-06-23 22:04:00,1.279828,5
user_000002,大样本周期_daily_0048,early_morning,9,9,1.0,9,2026-06-22 05:05:00,2026-06-30 05:13:00,2.302585,1
user_000002,公共流程起点,morning,5,5,1.0,5,2026-05-26 10:00:00,2026-06-20 10:00:00,1.791759,2
user_000002,大样本链路_0048_步骤2,morning,4,4,1.0,4,2026-04-04 08:30:00,2026-06-21 08:30:00,1.609438,3
user_000002,大样本链路_0048_步骤1,morning,4,4,1.0,4,2026-04-04 08:00:00,2026-06-21 08:00:00,1.609438,4
user_000002,大样本链路_0648_步骤2,morning,4,4,1.0,4,2026-03-29 08:30:00,2026-06-15 08:30:00,1.609438,5
user_000003,公共流程起点,morning,5,5,1.0,5,2026-05-25 10:00:00,2026-06-19 10:00:00,1.791759,1
user_000003,大样本固定时段_afternoon_0834,afternoon,4,5,0.8,3,2026-04-29 12:25:00,2026-06-16 12:22:00,1.28755,2
user_000004,公共流程起点,morning,5,5,1.0,5,2026-05-28 10:00:00,2026-06-22 10:00:00,1.791759,1
user_000004,大样本非周期_short_burst_0416,morning,5,5,1.0,5,2026-06-05 10:01:00,2026-06-09 10:33:00,1.791759,2
user_000005,公共流程起点,morning,5,5,1.0,5,2026-05-29 10:00:00,2026-06-23 10:00:00,1.791759,1
user_000005,大样本固定时段_early_morning_0940,early_morning,8,10,0.8,8,2025-08-04 01:08:00,2026-06-20 00:30:00,1.75778,2
user_000006,大样本非周期_stale_periodic_0459,morning,5,5,1.0,5,2026-01-31 10:11:00,2026-02-28 10:09:00,1.791759,1
user_000007,大样本周期_interval_0315,evening,7,7,1.0,7,2026-03-31 18:05:00,2026-06-17 18:11:00,2.079442,1
user_000007,公共流程起点,morning,5,5,1.0,5,2026-05-29 10:00:00,2026-06-23 10:00:00,1.791759,2
user_000007,查看理财产品,morning,6,7,0.857143,6,2025-09-25 11:03:00,2026-06-05 06:39:00,1.667923,3
user_000007,大样本固定时段_evening_0115,evening,4,5,0.8,3,2026-05-03 18:31:00,2026-06-20 18:38:00,1.28755,4
user_000008,公共流程起点,morning,5,5,1.0,5,2026-05-29 10:00:00,2026-06-23 10:00:00,1.791759,1
