user_id,action_name,event_count,active_days,first_time,last_time,user_total_event_count,frequency_share,observation_days,avg_monthly_count,rank
user_000001,添加银行卡,10,10,2025-09-29 09:49:00,2026-06-24 22:25:00,120,0.083333,333.799306,0.898744,1
user_000001,大样本周期_daily_0776,9,9,2026-06-22 05:05:00,2026-06-30 05:13:00,120,0.075,333.799306,0.808869,2
user_000001,查看黄金行情,8,8,2025-08-08 12:34:00,2026-06-26 13:24:00,120,0.066667,333.799306,0.718995,3
user_000001,收款码,7,7,2025-07-31 16:49:00,2026-06-28 20:39:00,120,0.058333,333.799306,0.629121,4
user_000001,短信验证,7,7,2025-07-31 16:52:00,2026-06-23 22:04:00,120,0.058333,333.799306,0.629121,5
user_000002,结构性存款,11,11,2025-10-08 03:42:00,2026-06-29 13:26:00,142,0.077465,349.384722,0.944518,1
user_000002,短信验证,10,10,2025-12-12 19:46:00,2026-06-26 17:25:00,142,0.070423,349.384722,0.858652,2
user_000002,大样本周期_daily_0048,9,9,2026-06-22 05:05:00,2026-06-30 05:13:00,142,0.06338,349.384722,0.772787,3
user_000002,预约网点取号,9,9,2025-09-13 15:34:00,2026-06-29 13:29:00,142,0.06338,349.384722,0.772787,4
user_000002,查银行卡,8,8,2025-10-08 03:45:00,2026-06-27 22:03:00,142,0.056338,349.384722,0.686922,5
user_000003,查看理财产品,9,9,2025-08-23 00:38:00,2026-06-06 14:00:00,128,0.070312,356.008333,0.758409,1
user_000003,买黄金,8,8,2025-09-04 06:36:00,2026-06-29 15:08:00,128,0.0625,356.008333,0.674142,2
user_000003,银行卡管理,8,8,2025-08-21 06:21:00,2026-06-29 15:05:00,128,0.0625,356.008333,0.674142,3
user_000003,大样本近期高频_0634,8,5,2026-06-24 02:03:00,2026-06-29 12:04:00,128,0.0625,356.008333,0.674142,4
user_000003,查看黄金行情,7,7,2026-01-24 19:31:00,2026-06-28 05:46:00,128,0.054688,356.008333,0.589874,5
user_000004,大样本非固定时段_low_share_0416,11,11,2026-01-06 00:07:00,2026-06-20 00:03:00,140,0.078571,360.270139,0.915979,1
user_000004,查银行卡,10,10,2025-07-16 15:07:00,2026-06-28 10:21:00,140,0.071429,360.270139,0.832708,2
user_000004,添加银行卡,9,9,2025-07-16 15:01:00,2026-06-29 16:33:00,140,0.064286,360.270139,0.749438,3
user_000004,查还款结果,9,9,2025-07-05 05:31:00,2026-06-23 05:03:00,140,0.064286,360.270139,0.749438,4
user_000004,跨行转入,9,9,2025-07-05 05:34:00,2026-06-22 02:45:00,140,0.064286,360.270139,0.749438,5
user_000005,查交易结果,11,11,2025-08-29 00:36:00,2026-06-29 01:38:00,137,0.080292,363.249306,0.908467,1
user_000005,查账户明细,11,11,2025-08-03 05:49:00,2026-06-23 21:11:00,137,0.080292,363.249306,0.908467,2
user_000005,大样本固定时段_early_morning_0940,10,10,2025-08-04 01:08:00,2026-06-20 00:30:00,137,0.072993,363.249306,0.825879,3
user_000005,查看理财产品,9,9,2025-07-02 06:04:00,2026-06-30 00:04:00,137,0.065693,363.249306,0.743291,4
user_000005,查看基金净值,9,9,2025-08-03 05:46:00,2026-06-21 20:14:00,137,0.065693,363.249306,0.743291,5
user_000006,大样本非近期高频_long_term_high_freq_0459,30,25,2026-06-02 20:06:00,2026-06-29 12:00:00,130,0.230769,341.888889,2.632434,1
user_000006,结构性存款,9,9,2025-07-23 14:43:00,2026-06-07 19:44:00,130,0.069231,341.888889,0.78973,2
user_000006,查账户明细,7,7,2025-11-01 15:34:00,2026-06-28 02:46:00,130,0.053846,341.888889,0.614235,3
user_000006,查银行卡,7,7,2025-08-20 10:03:00,2026-06-25 09:04:00,130,0.053846,341.888889,0.614235,4
user_000006,收款码,6,6,2025-07-24 06:37:00,2026-06-25 09:01:00,130,0.046154,341.888889,0.526487,5
user_000007,添加银行卡,9,9,2025-10-16 12:19:00,2026-06-26 23:06:00,144,0.0625,278.039583,0.971085,1
user_000007,收款码,9,9,2025-09-25 11:09:00,2026-06-25 11:41:00,144,0.0625,278.039583,0.971085,2
user_000007,银行卡管理,7,7,2025-10-16 12:22:00,2026-06-21 05:39:00,144,0.048611,278.039583,0.755288,3
