user_id,sequence,sequence_length,support_count,last_time,transition_confidence,sequence_score,next_action_candidate
user_000002,大样本链路_0048_步骤1 -> 大样本链路_0048_步骤2,2,4,2026-06-21 08:30:00,1.0,1.186519,大样本链路_0048_步骤2
user_000002,大样本链路_0648_步骤1 -> 大样本链路_0648_步骤2,2,4,2026-06-15 08:30:00,1.0,0.97144,大样本链路_0648_步骤2
user_000007,大样本链路_0915_步骤1 -> 大样本链路_0915_步骤2 -> 大样本链路_0915_步骤3 -> 大样本链路_0915_步骤4 -> 大样本链路_0915_步骤5,5,3,2026-06-23 09:56:00,1.0,1.423039,大样本链路_0915_步骤5
user_000007,大样本链路_0315_步骤1 -> 大样本链路_0315_步骤2 -> 大样本链路_0315_步骤3 -> 大样本链路_0315_步骤4 -> 大样本链路_0315_步骤5,5,3,2026-06-18 09:56:00,1.0,1.204577,大样本链路_0315_步骤5
user_000012,大样本链路_0519_步骤1 -> 大样本链路_0519_步骤2 -> 大样本链路_0519_步骤3 -> 大样本链路_0519_步骤4 -> 大样本链路_0519_步骤5,5,3,2026-06-23 09:56:00,1.0,1.423039,大样本链路_0519_步骤5
user_000012,大样本链路_1119_步骤1 -> 大样本链路_1119_步骤2 -> 大样本链路_1119_步骤3 -> 大样本链路_1119_步骤4 -> 大样本链路_1119_步骤5,5,3,2026-06-17 09:56:00,1.0,1.165086,大样本链路_1119_步骤5
user_000014,大样本链路_1166_步骤1 -> 大样本链路_1166_步骤2 -> 大样本链路_1166_步骤3 -> 大样本链路_1166_步骤4,4,3,2026-06-25 09:30:00,1.0,1.520227,大样本链路_1166_步骤4
user_000014,大样本链路_0566_步骤1 -> 大样本链路_0566_步骤2 -> 大样本链路_0566_步骤3 -> 大样本链路_0566_步骤4,4,3,2026-06-20 09:30:00,1.0,1.286844,大样本链路_0566_步骤4
user_000023,大样本链路_0278_步骤1 -> 大样本链路_0278_步骤2 -> 大样本链路_0278_步骤3 -> 大样本链路_0278_步骤4,4,3,2026-06-22 09:30:00,1.0,1.375558,大样本链路_0278_步骤4
user_000023,大样本链路_0878_步骤1 -> 大样本链路_0878_步骤2 -> 大样本链路_0878_步骤3 -> 大样本链路_0878_步骤4,4,3,2026-06-16 09:30:00,1.0,1.126212,大样本链路_0878_步骤4
user_000025,大样本链路_0764_步骤1 -> 大样本链路_0764_步骤2,2,4,2026-06-20 08:30:00,1.0,1.14762,大样本链路_0764_步骤2
user_000025,大样本链路_0164_步骤1 -> 大样本链路_0164_步骤2,2,4,2026-06-15 08:30:00,1.0,0.97144,大样本链路_0164_步骤2
user_000026,查看黄金行情 -> 查交易结果 -> 快捷支付,3,2,2026-06-11 01:42:00,1.0,0.689858,快捷支付
user_000028,大样本链路_0476_步骤1 -> 大样本链路_0476_步骤2,2,4,2026-06-22 08:30:00,1.0,1.226736,大样本链路_0476_步骤2
user_000028,大样本链路_1076_步骤1 -> 大样本链路_1076_步骤2,2,4,2026-06-16 08:30:00,1.0,1.004367,大样本链路_1076_步骤2
user_000029,大样本链路_0911_步骤1 -> 大样本链路_0911_步骤2 -> 大样本链路_0911_步骤3 -> 大样本链路_0911_步骤4 -> 大样本链路_0911_步骤5,5,3,2026-06-16 09:56:00,1.0,1.12689,大样本链路_0911_步骤5
user_000029,大样本链路_0311_步骤1 -> 大样本链路_0311_步骤2 -> 大样本链路_0311_步骤3 -> 大样本链路_0311_步骤4 -> 大样本链路_0311_步骤5,5,2,2026-06-08 09:56:00,1.0,0.684004,大样本链路_0311_步骤5
user_000034,大样本链路_0630_步骤1 -> 大样本链路_0630_步骤2 -> 大样本链路_0630_步骤3 -> 大样本链路_0630_步骤4,4,3,2026-06-22 09:30:00,1.0,1.375558,大样本链路_0630_步骤4
user_000034,大样本链路_0030_步骤1 -> 大样本链路_0030_步骤2 -> 大样本链路_0030_步骤3 -> 大样本链路_0030_步骤4,4,3,2026-06-17 09:30:00,1.0,1.164385,大样本链路_0030_步骤4
user_000036,大样本链路_1118_步骤1 -> 大样本链路_1118_步骤2 -> 大样本链路_1118_步骤3 -> 大样本链路_1118_步骤4,4,3,2026-06-18 09:30:00,1.0,1.203852,大样本链路_1118_步骤4
user_000036,大样本链路_0518_步骤1 -> 大样本链路_0518_步骤2 -> 大样本链路_0518_步骤3 -> 大样本链路_0518_步骤4,4,2,2026-06-10 09:30:00,1.0,0.730719,大样本链路_0518_步骤4
user_000037,公共流程起点 -> 公共流程终点,2,3,2026-06-23 10:04:00,0.75,0.821136,公共流程终点
user_000039,大样本链路_0621_步骤1 -> 大样本链路_0621_步骤2 -> 大样本链路_0621_步骤3,3,3,2026-06-20 08:58:00,1.0,1.186977,大样本链路_0621_步骤3
user_000039,大样本链路_0021_步骤1 -> 大样本链路_0021_步骤2 -> 大样本链路_0021_步骤3,3,3,2026-06-15 08:58:00,1.0,1.004754,大样本链路_0021_步骤3
user_000041,大样本链路_0487_步骤1 -> 大样本链路_0487_步骤2 -> 大样本链路_0487_步骤3 -> 大样本链路_0487_步骤4 -> 大样本链路_0487_步骤5,5,3,2026-06-22 09:56:00,1.0,1.376386,大样本链路_0487_步骤5
user_000041,大样本链路_1087_步骤1 -> 大样本链路_1087_步骤2 -> 大样本链路_1087_步骤3 -> 大样本链路_1087_步骤4 -> 大样本链路_1087_步骤5,5,3,2026-06-16 09:56:00,1.0,1.12689,大样本链路_1087_步骤5
user_000043,大样本链路_0036_步骤1 -> 大样本链路_0036_步骤2,2,4,2026-06-22 08:30:00,1.0,1.226736,大样本链路_0036_步骤2
user_000043,大样本链路_0636_步骤1 -> 大样本链路_0636_步骤2,2,4,2026-06-16 08:30:00,1.0,1.004367,大样本链路_0636_步骤2
user_000049,大样本链路_0045_步骤1 -> 大样本链路_0045_步骤2 -> 大样本链路_0045_步骤3,3,3,2026-06-24 08:58:00,1.0,1.356276,大样本链路_0045_步骤3
user_000049,大样本链路_0645_步骤1 -> 大样本链路_0645_步骤2 -> 大样本链路_0645_步骤3,3,3,2026-06-18 08:58:00,1.0,1.110425,大样本链路_0645_步骤3
user_000053,大样本链路_0462_步骤1 -> 大样本链路_0462_步骤2 -> 大样本链路_0462_步骤3 -> 大样本链路_0462_步骤4,4,3,2026-06-25 09:30:00,1.0,1.520227,大样本链路_0462_步骤4
user_000053,大样本链路_1062_步骤1 -> 大样本链路_1062_步骤2 -> 大样本链路_1062_步骤3 -> 大样本链路_1062_步骤4,4,3,2026-06-19 09:30:00,1.0,1.244657,大样本链路_1062_步骤4
user_000054,大样本链路_0026_步骤1 -> 大样本链路_0026_步骤2 -> 大样本链路_0026_步骤3 -> 大样本链路_0026_步骤4,4,3,2026-06-21 09:30:00,1.0,1.330462,大样本链路_0026_步骤4
user_000054,大样本链路_0626_步骤1 -> 大样本链路_0626_步骤2 -> 大样本链路_0626_步骤3 -> 大样本链路_0626_步骤4,4,3,2026-06-15 09:30:00,1.0,1.08929,大样本链路_0626_步骤4
user_000055,大样本链路_0528_步骤1 -> 大样本链路_0528_步骤2,2,4,2026-06-25 08:30:00,1.0,1.355753,大样本链路_0528_步骤2
user_000055,大样本链路_1128_步骤1 -> 大样本链路_1128_步骤2,2,4,2026-06-19 08:30:00,1.0,1.109997,大样本链路_1128_步骤2
user_000059,收款码 -> 查还款结果 -> 预约网点取号,3,2,2026-06-22 14:24:00,1.0,1.013121,预约网点取号
user_000062,大样本链路_0610_步骤1 -> 大样本链路_0610_步骤2 -> 大样本链路_0610_步骤3 -> 大样本链路_0610_步骤4,4,3,2026-06-20 09:30:00,1.0,1.286844,大样本链路_0610_步骤4
