user_id,action_name,event_time,rank,user_activity_level
user_000001,大样本周期_daily_0776,2026-06-30 05:13:00,1,high
user_000001,大样本近期高频_0376,2026-06-29 12:39:00,2,high
user_000001,大样本近期高频_0376,2026-06-29 07:33:00,3,high
user_000002,大样本周期_daily_0048,2026-06-30 05:13:00,1,high
user_000002,添加银行卡,2026-06-29 13:32:00,2,high
user_000002,预约网点取号,2026-06-29 13:29:00,3,high
user_000003,查交易明细,2026-06-29 15:11:00,1,high
user_000003,买黄金,2026-06-29 15:08:00,2,high
user_000003,银行卡管理,2026-06-29 15:05:00,3,high
user_000004,查看基金净值,2026-06-29 16:36:00,1,high
user_000004,添加银行卡,2026-06-29 16:33:00,2,high
user_000004,大样本非近期高频_low_count_0416,2026-06-29 12:00:00,3,high
user_000005,添加银行卡,2026-06-30 00:07:00,1,high
user_000005,查看理财产品,2026-06-30 00:04:00,2,high
user_000005,查银行卡,2026-06-30 00:01:00,3,high
user_000006,大样本非近期高频_long_term_high_freq_0459,2026-06-29 12:00:00,1,high
user_000006,大样本非近期高频_long_term_high_freq_0459,2026-06-29 11:00:00,2,high
user_000006,大样本非近期高频_long_term_high_freq_0459,2026-06-28 10:00:00,3,high
user_000007,短信验证,2026-06-29 15:33:00,1,high
user_000007,快捷支付,2026-06-29 15:30:00,2,high
user_000007,查交易结果,2026-06-28 14:06:00,3,high
user_000008,快捷支付,2026-06-29 15:06:00,1,high
user_000008,添加银行卡,2026-06-29 15:03:00,2,high
user_000008,查银行卡,2026-06-29 15:00:00,3,high
user_000009,大样本近期高频_0607,2026-06-29 12:30:00,1,high
user_000009,大样本近期高频_0607,2026-06-29 07:33:00,2,high
user_000009,大样本近期高频_0607,2026-06-28 02:53:00,3,high
user_000010,大样本非近期高频_low_count_0420,2026-06-29 12:00:00,1,high
user_000010,大样本非近期高频_low_count_0420,2026-06-29 11:00:00,2,high
user_000010,大样本非近期高频_low_count_0420,2026-06-28 10:00:00,3,high
user_000011,预约网点取号,2026-06-30 00:44:00,1,high
user_000011,查账户明细,2026-06-30 00:41:00,2,high
user_000011,结构性存款,2026-06-30 00:38:00,3,high
user_000012,查看基金净值,2026-06-30 00:22:00,1,high
user_000012,短信验证,2026-06-30 00:19:00,2,high
user_000012,查看黄金行情,2026-06-29 12:09:00,3,high
user_000013,银行卡管理,2026-06-30 10:15:00,1,high
user_000013,查银行卡,2026-06-30 10:12:00,2,high
user_000013,大样本近期高频_0477,2026-06-29 12:49:00,3,high
user_000014,跨行转入,2026-06-29 21:45:00,1,high
user_000014,预约网点取号,2026-06-29 21:42:00,2,high
user_000014,查看基金净值,2026-06-29 21:39:00,3,high
user_000015,大样本非近期高频_long_term_high_freq_0675,2026-06-29 12:00:00,1,high
user_000015,大样本非近期高频_long_term_high_freq_0675,2026-06-29 11:00:00,2,high
user_000015,添加银行卡,2026-06-29 10:15:00,3,high
user_000016,查银行卡,2026-06-29 20:07:00,1,high
user_000016,查看基金净值,2026-06-29 20:04:00,2,high
user_000016,查看黄金行情,2026-06-29 20:01:00,3,high
user_000017,大样本近期高频_0677,2026-06-29 12:04:00,1,high
user_000017,快捷支付,2026-06-29 10:54:00,2,high
user_000017,查看基金净值,2026-06-29 10:51:00,3,high
user_000018,查看基金净值,2026-06-29 15:45:00,1,high
user_000018,查交易明细,2026-06-29 15:42:00,2,high
user_000018,大样本非近期高频_low_concentration_0794,2026-06-29 12:00:00,3,high
user_000019,大样本非近期高频_low_concentration_0742,2026-06-29 12:00:00,1,high
user_000019,大样本非近期高频_low_concentration_0742,2026-06-29 11:00:00,2,high
user_000019,大样本非近期高频_low_concentration_0742,2026-06-28 10:00:00,3,high
user_000020,大样本近期高频_0652,2026-06-29 12:05:00,1,high
user_000020,大样本近期高频_0652,2026-06-29 07:59:00,2,high
user_000020,查还款结果,2026-06-28 15:13:00,3,high
user_000021,大样本非近期高频_low_count_0116,2026-06-29 12:00:00,1,high
user_000021,大样本非近期高频_low_count_0116,2026-06-29 11:00:00,2,high
user_000021,查银行卡,2026-06-29 09:48:00,3,high
user_000022,大样本周期_daily_0904,2026-06-30 05:13:00,1,high
user_000022,跨行转入,2026-06-29 13:55:00,2,high
user_000022,预约网点取号,2026-06-29 13:52:00,3,high
user_000023,银行卡管理,2026-06-30 11:38:00,1,high
user_000023,收款码,2026-06-30 11:35:00,2,high
user_000023,风险评估,2026-06-30 11:32:00,3,high
user_000024,大样本非近期高频_low_lift_0189,2026-06-29 12:00:00,1,high
user_000024,大样本非近期高频_low_lift_0189,2026-06-29 11:00:00,2,high
user_000024,大样本非近期高频_low_lift_0189,2026-06-28 10:00:00,3,high
user_000025,大样本周期_daily_0164,2026-06-30 05:12:00,1,high
user_000025,短信验证,2026-06-29 14:45:00,2,high
user_000025,结构性存款,2026-06-29 14:42:00,3,high
user_000026,大样本非近期高频_long_term_high_freq_0527,2026-06-29 12:00:00,1,high
user_000026,大样本非近期高频_long_term_high_freq_0527,2026-06-29 11:00:00,2,high
user_000026,风险评估,2026-06-29 10:34:00,3,high
user_000027,大样本非近期高频_long_term_high_freq_0739,2026-06-29 12:00:00,1,high
user_000027,大样本非近期高频_long_term_high_freq_0739,2026-06-29 11:00:00,2,high
user_000027,大样本非近期高频_long_term_high_freq_0739,2026-06-28 10:00:00,3,high
user_000028,大样本周期_daily_0476,2026-06-30 05:12:00,1,high
user_000028,大样本近期高频_0076,2026-06-29 12:27:00,2,high
user_000028,大样本近期高频_0076,2026-06-29 07:52:00,3,high
user_000029,查银行卡,2026-06-30 07:36:00,1,high
user_000029,查看基金净值,2026-06-30 07:33:00,2,high
user_000029,查还款结果,2026-06-30 07:30:00,3,high
user_000030,查还款结果,2026-06-30 11:21:00,1,high
user_000030,银行卡管理,2026-06-30 11:18:00,2,high
user_000030,买黄金,2026-06-30 11:15:00,3,high
user_000031,预约网点取号,2026-06-29 18:20:00,1,high
user_000031,跨行转入,2026-06-29 18:17:00,2,high
user_000031,查账户明细,2026-06-29 18:14:00,3,high
user_000032,收款码,2026-06-30 01:21:00,1,high
user_000032,查银行卡,2026-06-30 01:18:00,2,high
user_000032,大样本非近期高频_low_concentration_0130,2026-06-29 12:00:00,3,high
