user_id,action_name,recent_count,time_window,positive_label,pattern_id,baseline_count,count_7d,count_30d,lift,recent_concentration,reason
user_150,上传收入证明,4,7d,1,high_freq_000,0.0,4,4,8.0,1.0,recent_7d_lift
user_235,修改转账限额,5,7d,1,high_freq_001,0.084337,5,5,10.0,1.0,recent_7d_lift
user_081,购买旅行保险,6,7d,1,high_freq_002,0.168675,6,6,12.0,1.0,recent_7d_lift
user_099,修改转账限额,7,7d,1,high_freq_003,0.0,7,7,14.0,1.0,recent_7d_lift
user_135,购买旅行保险,8,7d,1,high_freq_004,0.084337,8,8,16.0,1.0,recent_7d_lift
user_184,购买旅行保险,4,7d,1,high_freq_005,0.168675,4,4,8.0,1.0,recent_7d_lift
user_147,申请贷款试算,5,7d,1,high_freq_006,0.0,5,5,10.0,1.0,recent_7d_lift
user_083,上传收入证明,6,7d,1,high_freq_007,0.084337,6,6,12.0,1.0,recent_7d_lift
user_238,购买旅行保险,7,7d,1,high_freq_008,0.168675,7,7,14.0,1.0,recent_7d_lift
user_225,申请贷款试算,8,7d,1,high_freq_009,0.0,8,8,16.0,1.0,recent_7d_lift
user_113,上传收入证明,4,7d,1,high_freq_010,0.084337,4,4,8.0,1.0,recent_7d_lift
user_123,购买旅行保险,5,7d,1,high_freq_011,0.168675,5,5,10.0,1.0,recent_7d_lift
user_230,查询汇率牌价,6,7d,1,high_freq_012,0.0,6,6,12.0,1.0,recent_7d_lift
user_007,修改转账限额,7,7d,1,high_freq_013,0.084337,7,7,14.0,1.0,recent_7d_lift
user_182,修改转账限额,8,7d,1,high_freq_014,0.168675,8,8,16.0,1.0,recent_7d_lift
user_201,上传收入证明,4,7d,1,high_freq_015,0.0,4,4,8.0,1.0,recent_7d_lift
user_015,上传收入证明,5,7d,1,high_freq_016,0.084337,5,5,10.0,1.0,recent_7d_lift
user_105,查询汇率牌价,6,7d,1,high_freq_017,0.168675,6,6,12.0,1.0,recent_7d_lift
user_218,查询汇率牌价,7,7d,1,high_freq_018,0.0,7,7,14.0,1.0,recent_7d_lift
user_071,申请贷款试算,8,7d,1,high_freq_019,0.084337,8,8,16.0,1.0,recent_7d_lift
user_240,修改转账限额,4,7d,1,high_freq_020,0.168675,4,4,8.0,1.0,recent_7d_lift
user_072,购买旅行保险,5,7d,1,high_freq_021,0.0,5,5,10.0,1.0,recent_7d_lift
user_048,开通快捷支付,6,7d,1,high_freq_022,0.084337,6,6,12.0,1.0,recent_7d_lift
user_103,申请贷款试算,7,7d,1,high_freq_023,0.168675,7,7,14.0,1.0,recent_7d_lift
user_102,购买旅行保险,8,7d,1,high_freq_024,0.0,8,8,16.0,1.0,recent_7d_lift
user_152,开通快捷支付,4,7d,1,high_freq_025,0.084337,4,4,8.0,1.0,recent_7d_lift
user_122,上传收入证明,5,7d,1,high_freq_026,0.168675,5,5,10.0,1.0,recent_7d_lift
user_090,上传收入证明,6,7d,1,high_freq_027,0.0,6,6,12.0,1.0,recent_7d_lift
user_017,修改转账限额,7,7d,1,high_freq_028,0.084337,7,7,14.0,1.0,recent_7d_lift
user_161,上传收入证明,8,7d,1,high_freq_029,0.168675,8,8,16.0,1.0,recent_7d_lift
user_076,上传收入证明,4,7d,1,high_freq_030,0.0,4,4,8.0,1.0,recent_7d_lift
user_043,上传收入证明,5,7d,1,high_freq_031,0.084337,5,5,10.0,1.0,recent_7d_lift
user_145,查询汇率牌价,6,7d,1,high_freq_032,0.168675,6,6,12.0,1.0,recent_7d_lift
user_239,修改转账限额,7,7d,1,high_freq_033,0.0,7,7,14.0,1.0,recent_7d_lift
user_079,开通快捷支付,8,7d,1,high_freq_034,0.084337,8,8,16.0,1.0,recent_7d_lift
user_157,申请贷款试算,4,7d,1,high_freq_035,0.168675,4,4,8.0,1.0,recent_7d_lift
user_039,修改转账限额,5,7d,1,high_freq_036,0.0,5,5,10.0,1.0,recent_7d_lift
user_075,修改转账限额,6,7d,1,high_freq_037,0.084337,6,6,12.0,1.0,recent_7d_lift
user_059,开通快捷支付,7,7d,1,high_freq_038,0.168675,7,7,14.0,1.0,recent_7d_lift
user_229,开通快捷支付,8,7d,1,high_freq_039,0.0,8,8,16.0,1.0,recent_7d_lift
user_222,开通快捷支付,4,7d,1,high_freq_040,0.084337,4,4,8.0,1.0,recent_7d_lift
user_188,修改转账限额,5,7d,1,high_freq_041,0.168675,5,5,10.0,1.0,recent_7d_lift
user_217,开通快捷支付,6,7d,1,high_freq_042,0.0,6,6,12.0,1.0,recent_7d_lift
user_168,上传收入证明,7,7d,1,high_freq_043,0.084337,7,7,14.0,1.0,recent_7d_lift
user_032,上传收入证明,8,7d,1,high_freq_044,0.168675,8,8,16.0,1.0,recent_7d_lift
user_172,查询汇率牌价,4,7d,1,high_freq_045,0.0,4,4,8.0,1.0,recent_7d_lift
user_115,申请贷款试算,5,7d,1,high_freq_046,0.084337,5,5,10.0,1.0,recent_7d_lift
user_068,开通快捷支付,6,7d,1,high_freq_047,0.168675,6,6,12.0,1.0,recent_7d_lift
user_047,修改转账限额,7,7d,1,high_freq_048,0.0,7,7,14.0,1.0,recent_7d_lift
user_096,购买旅行保险,8,7d,1,high_freq_049,0.084337,8,8,16.0,1.0,recent_7d_lift
user_008,上传收入证明,4,7d,1,high_freq_050,0.168675,4,4,8.0,1.0,recent_7d_lift
user_067,上传收入证明,5,7d,1,high_freq_051,0.0,5,5,10.0,1.0,recent_7d_lift
user_208,查询汇率牌价,6,7d,1,high_freq_052,0.084337,6,6,12.0,1.0,recent_7d_lift
user_057,购买旅行保险,7,7d,1,high_freq_053,0.168675,7,7,14.0,1.0,recent_7d_lift
user_126,修改转账限额,8,7d,1,high_freq_054,0.0,8,8,16.0,1.0,recent_7d_lift
user_128,申请贷款试算,4,7d,1,high_freq_055,0.084337,4,4,8.0,1.0,recent_7d_lift
user_051,查询汇率牌价,5,7d,1,high_freq_056,0.168675,5,5,10.0,1.0,recent_7d_lift
user_073,查询汇率牌价,6,7d,1,high_freq_057,0.0,6,6,12.0,1.0,recent_7d_lift
user_174,查询汇率牌价,7,7d,1,high_freq_058,0.084337,7,7,14.0,1.0,recent_7d_lift
