user_id,action_name,period_type,period_value,next_expected_time,positive_label,pattern_id,pattern_strength,jitter_days,missing_occurrence_count
user_041,查账单,daily,every 1 day,2026-04-01 08:00:00,1,periodic_000,strong,0,0
user_210,工资转账,daily,every 1 day,2026-04-01 09:00:00,1,periodic_001,strong,0,0
user_181,还信用卡,daily,every 1 day,2026-04-01 10:00:00,1,periodic_002,strong,0,0
user_198,还信用卡,daily,every 1 day,2026-04-01 11:00:00,1,periodic_003,strong,0,0
user_234,购买理财,daily,every 1 day,2026-04-01 08:00:00,1,periodic_004,strong,0,0
user_065,查账单,daily,every 1 day,2026-04-01 09:00:00,1,periodic_005,strong,0,0
user_215,基金定投,daily,every 1 day,2026-04-01 10:00:00,1,periodic_006,strong,0,0
user_004,查账单,daily,every 1 day,2026-04-01 11:00:00,1,periodic_007,strong,0,0
user_197,信用卡账单,daily,every 1 day,2026-04-01 08:00:00,1,periodic_008,strong,0,0
user_224,购买理财,daily,every 1 day,2026-04-01 09:00:00,1,periodic_009,strong,0,0
user_154,给朋友转账,daily,every 1 day,2026-04-01 10:00:00,1,periodic_010,strong,0,0
user_166,查账单,daily,every 1 day,2026-04-01 11:00:00,1,periodic_011,strong,0,0
user_060,查余额,daily,every 1 day,2026-04-01 08:00:00,1,periodic_012,strong,0,0
user_058,查账单,daily,every 1 day,2026-04-01 09:00:00,1,periodic_013,strong,0,0
user_178,信用卡账单,daily,every 1 day,2026-04-01 10:00:00,1,periodic_014,strong,0,0
user_100,查余额,daily,every 1 day,2026-04-01 11:00:00,1,periodic_015,strong,0,0
user_033,信用卡账单,daily,every 1 day,2026-04-01 08:00:00,1,periodic_016,strong,0,0
user_006,给朋友转账,daily,every 1 day,2026-04-01 09:00:00,1,periodic_017,strong,0,0
user_037,基金定投,daily,every 1 day,2026-04-01 10:00:00,1,periodic_018,strong,0,0
user_171,工资转账,daily,every 1 day,2026-04-01 11:00:00,1,periodic_019,strong,0,0
user_142,查账单,daily,every 1 day,2026-04-01 08:00:00,1,periodic_020,strong,0,0
user_078,工资转账,daily,every 1 day,2026-04-01 09:00:00,1,periodic_021,strong,0,0
user_002,给朋友转账,daily,every 1 day,2026-04-01 10:00:00,1,periodic_022,strong,0,0
user_107,购买理财,daily,every 1 day,2026-04-01 11:00:00,1,periodic_023,strong,0,0
