user_id,action_name,recent_count,time_window,positive_label,pattern_id,baseline_count,count_7d,count_30d,lift,recent_concentration,reason
user_000946,大样本近期高频_0000,4,last_7_days,1,large_high_freq_0000,0.0,4,4,8.0,1.0,recent_frequency_increase
user_000712,大样本近期高频_0001,5,last_7_days,1,large_high_freq_0001,0.3333333333333333,5,6,10.0,0.833333,recent_frequency_increase
user_001660,大样本近期高频_0002,6,last_7_days,1,large_high_freq_0002,0.0,6,6,12.0,1.0,recent_frequency_increase
user_000993,大样本近期高频_0003,7,last_7_days,1,large_high_freq_0003,0.3333333333333333,7,8,14.0,0.875,recent_frequency_increase
user_000960,大样本近期高频_0004,8,last_7_days,1,large_high_freq_0004,0.0,8,8,16.0,1.0,recent_frequency_increase
user_000446,大样本近期高频_0005,4,last_7_days,1,large_high_freq_0005,0.3333333333333333,4,5,8.0,0.8,recent_frequency_increase
user_000906,大样本近期高频_0006,5,last_7_days,1,large_high_freq_0006,0.0,5,5,10.0,1.0,recent_frequency_increase
user_000819,大样本近期高频_0007,6,last_7_days,1,large_high_freq_0007,0.3333333333333333,6,7,12.0,0.857143,recent_frequency_increase
user_000465,大样本近期高频_0008,7,last_7_days,1,large_high_freq_0008,0.0,7,7,14.0,1.0,recent_frequency_increase
user_001561,大样本近期高频_0009,8,last_7_days,1,large_high_freq_0009,0.3333333333333333,8,9,16.0,0.888889,recent_frequency_increase
user_001729,大样本近期高频_0010,4,last_7_days,1,large_high_freq_0010,0.0,4,4,8.0,1.0,recent_frequency_increase
user_000983,大样本近期高频_0011,5,last_7_days,1,large_high_freq_0011,0.3333333333333333,5,6,10.0,0.833333,recent_frequency_increase
user_001654,大样本近期高频_0012,6,last_7_days,1,large_high_freq_0012,0.0,6,6,12.0,1.0,recent_frequency_increase
user_001619,大样本近期高频_0013,7,last_7_days,1,large_high_freq_0013,0.3333333333333333,7,8,14.0,0.875,recent_frequency_increase
user_001281,大样本近期高频_0014,8,last_7_days,1,large_high_freq_0014,0.0,8,8,16.0,1.0,recent_frequency_increase
user_000431,大样本近期高频_0015,4,last_7_days,1,large_high_freq_0015,0.3333333333333333,4,5,8.0,0.8,recent_frequency_increase
user_000217,大样本近期高频_0016,5,last_7_days,1,large_high_freq_0016,0.0,5,5,10.0,1.0,recent_frequency_increase
user_001206,大样本近期高频_0017,6,last_7_days,1,large_high_freq_0017,0.3333333333333333,6,7,12.0,0.857143,recent_frequency_increase
user_001572,大样本近期高频_0018,7,last_7_days,1,large_high_freq_0018,0.0,7,7,14.0,1.0,recent_frequency_increase
user_001838,大样本近期高频_0019,8,last_7_days,1,large_high_freq_0019,0.3333333333333333,8,9,16.0,0.888889,recent_frequency_increase
user_001478,大样本近期高频_0020,4,last_7_days,1,large_high_freq_0020,0.0,4,4,8.0,1.0,recent_frequency_increase
user_000499,大样本近期高频_0021,5,last_7_days,1,large_high_freq_0021,0.3333333333333333,5,6,10.0,0.833333,recent_frequency_increase
user_000739,大样本近期高频_0022,6,last_7_days,1,large_high_freq_0022,0.0,6,6,12.0,1.0,recent_frequency_increase
user_000898,大样本近期高频_0023,7,last_7_days,1,large_high_freq_0023,0.3333333333333333,7,8,14.0,0.875,recent_frequency_increase
user_001584,大样本近期高频_0024,8,last_7_days,1,large_high_freq_0024,0.0,8,8,16.0,1.0,recent_frequency_increase
user_001276,大样本近期高频_0025,4,last_7_days,1,large_high_freq_0025,0.3333333333333333,4,5,8.0,0.8,recent_frequency_increase
user_001374,大样本近期高频_0026,5,last_7_days,1,large_high_freq_0026,0.0,5,5,10.0,1.0,recent_frequency_increase
user_001209,大样本近期高频_0027,6,last_7_days,1,large_high_freq_0027,0.3333333333333333,6,7,12.0,0.857143,recent_frequency_increase
user_001862,大样本近期高频_0028,7,last_7_days,1,large_high_freq_0028,0.0,7,7,14.0,1.0,recent_frequency_increase
user_000868,大样本近期高频_0029,8,last_7_days,1,large_high_freq_0029,0.3333333333333333,8,9,16.0,0.888889,recent_frequency_increase
user_001234,大样本近期高频_0030,4,last_7_days,1,large_high_freq_0030,0.0,4,4,8.0,1.0,recent_frequency_increase
user_000654,大样本近期高频_0031,5,last_7_days,1,large_high_freq_0031,0.3333333333333333,5,6,10.0,0.833333,recent_frequency_increase
user_001653,大样本近期高频_0032,6,last_7_days,1,large_high_freq_0032,0.0,6,6,12.0,1.0,recent_frequency_increase
user_001164,大样本近期高频_0033,7,last_7_days,1,large_high_freq_0033,0.3333333333333333,7,8,14.0,0.875,recent_frequency_increase
user_001911,大样本近期高频_0034,8,last_7_days,1,large_high_freq_0034,0.0,8,8,16.0,1.0,recent_frequency_increase
user_001403,大样本近期高频_0035,4,last_7_days,1,large_high_freq_0035,0.3333333333333333,4,5,8.0,0.8,recent_frequency_increase
user_000884,大样本近期高频_0036,5,last_7_days,1,large_high_freq_0036,0.0,5,5,10.0,1.0,recent_frequency_increase
user_001795,大样本近期高频_0037,6,last_7_days,1,large_high_freq_0037,0.3333333333333333,6,7,12.0,0.857143,recent_frequency_increase
user_001953,大样本近期高频_0038,7,last_7_days,1,large_high_freq_0038,0.0,7,7,14.0,1.0,recent_frequency_increase
user_001578,大样本近期高频_0039,8,last_7_days,1,large_high_freq_0039,0.3333333333333333,8,9,16.0,0.888889,recent_frequency_increase
user_001703,大样本近期高频_0040,4,last_7_days,1,large_high_freq_0040,0.0,4,4,8.0,1.0,recent_frequency_increase
user_000523,大样本近期高频_0041,5,last_7_days,1,large_high_freq_0041,0.3333333333333333,5,6,10.0,0.833333,recent_frequency_increase
user_001266,大样本近期高频_0042,6,last_7_days,1,large_high_freq_0042,0.0,6,6,12.0,1.0,recent_frequency_increase
user_001608,大样本近期高频_0043,7,last_7_days,1,large_high_freq_0043,0.3333333333333333,7,8,14.0,0.875,recent_frequency_increase
user_001179,大样本近期高频_0044,8,last_7_days,1,large_high_freq_0044,0.0,8,8,16.0,1.0,recent_frequency_increase
user_000300,大样本近期高频_0045,4,last_7_days,1,large_high_freq_0045,0.3333333333333333,4,5,8.0,0.8,recent_frequency_increase
user_000619,大样本近期高频_0046,5,last_7_days,1,large_high_freq_0046,0.0,5,5,10.0,1.0,recent_frequency_increase
user_001089,大样本近期高频_0047,6,last_7_days,1,large_high_freq_0047,0.3333333333333333,6,7,12.0,0.857143,recent_frequency_increase
user_001594,大样本近期高频_0048,7,last_7_days,1,large_high_freq_0048,0.0,7,7,14.0,1.0,recent_frequency_increase
user_000437,大样本近期高频_0049,8,last_7_days,1,large_high_freq_0049,0.3333333333333333,8,9,16.0,0.888889,recent_frequency_increase
user_001512,大样本近期高频_0050,4,last_7_days,1,large_high_freq_0050,0.0,4,4,8.0,1.0,recent_frequency_increase
user_001616,大样本近期高频_0051,5,last_7_days,1,large_high_freq_0051,0.3333333333333333,5,6,10.0,0.833333,recent_frequency_increase
user_000377,大样本近期高频_0052,6,last_7_days,1,large_high_freq_0052,0.0,6,6,12.0,1.0,recent_frequency_increase
user_000791,大样本近期高频_0053,7,last_7_days,1,large_high_freq_0053,0.3333333333333333,7,8,14.0,0.875,recent_frequency_increase
user_001144,大样本近期高频_0054,8,last_7_days,1,large_high_freq_0054,0.0,8,8,16.0,1.0,recent_frequency_increase
user_000516,大样本近期高频_0055,4,last_7_days,1,large_high_freq_0055,0.3333333333333333,4,5,8.0,0.8,recent_frequency_increase
user_001612,大样本近期高频_0056,5,last_7_days,1,large_high_freq_0056,0.0,5,5,10.0,1.0,recent_frequency_increase
user_000249,大样本近期高频_0057,6,last_7_days,1,large_high_freq_0057,0.3333333333333333,6,7,12.0,0.857143,recent_frequency_increase
user_001311,大样本近期高频_0058,7,last_7_days,1,large_high_freq_0058,0.0,7,7,14.0,1.0,recent_frequency_increase
user_001075,大样本近期高频_0059,8,last_7_days,1,large_high_freq_0059,0.3333333333333333,8,9,16.0,0.888889,recent_frequency_increase
user_001016,大样本近期高频_0060,4,last_7_days,1,large_high_freq_0060,0.0,4,4,8.0,1.0,recent_frequency_increase
user_000339,大样本近期高频_0061,5,last_7_days,1,large_high_freq_0061,0.3333333333333333,5,6,10.0,0.833333,recent_frequency_increase
user_000053,大样本近期高频_0062,6,last_7_days,1,large_high_freq_0062,0.0,6,6,12.0,1.0,recent_frequency_increase
user_001670,大样本近期高频_0063,7,last_7_days,1,large_high_freq_0063,0.3333333333333333,7,8,14.0,0.875,recent_frequency_increase
user_000409,大样本近期高频_0064,8,last_7_days,1,large_high_freq_0064,0.0,8,8,16.0,1.0,recent_frequency_increase
user_000935,大样本近期高频_0065,4,last_7_days,1,large_high_freq_0065,0.3333333333333333,4,5,8.0,0.8,recent_frequency_increase
user_000829,大样本近期高频_0066,5,last_7_days,1,large_high_freq_0066,0.0,5,5,10.0,1.0,recent_frequency_increase
user_001785,大样本近期高频_0067,6,last_7_days,1,large_high_freq_0067,0.3333333333333333,6,7,12.0,0.857143,recent_frequency_increase
user_001549,大样本近期高频_0068,7,last_7_days,1,large_high_freq_0068,0.0,7,7,14.0,1.0,recent_frequency_increase
user_000453,大样本近期高频_0069,8,last_7_days,1,large_high_freq_0069,0.3333333333333333,8,9,16.0,0.888889,recent_frequency_increase
user_000387,大样本近期高频_0070,4,last_7_days,1,large_high_freq_0070,0.0,4,4,8.0,1.0,recent_frequency_increase
