user_id,action_name,negative_type,positive_label,pattern_id,baseline_count,count_7d,count_30d,lift,recent_concentration,reason
user_001124,大样本非近期高频_low_count_0000,low_count,0,large_high_freq_negative_0000,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001490,大样本非近期高频_low_lift_0001,low_lift,0,large_high_freq_negative_0001,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000849,大样本非近期高频_low_concentration_0002,low_concentration,0,large_high_freq_negative_0002,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001346,大样本非近期高频_long_term_high_freq_0003,long_term_high_freq,0,large_high_freq_negative_0003,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001372,大样本非近期高频_low_count_0004,low_count,0,large_high_freq_negative_0004,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001046,大样本非近期高频_low_lift_0005,low_lift,0,large_high_freq_negative_0005,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000695,大样本非近期高频_low_concentration_0006,low_concentration,0,large_high_freq_negative_0006,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001087,大样本非近期高频_long_term_high_freq_0007,long_term_high_freq,0,large_high_freq_negative_0007,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000298,大样本非近期高频_low_count_0008,low_count,0,large_high_freq_negative_0008,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001741,大样本非近期高频_low_lift_0009,low_lift,0,large_high_freq_negative_0009,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_001542,大样本非近期高频_low_concentration_0010,low_concentration,0,large_high_freq_negative_0010,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000655,大样本非近期高频_long_term_high_freq_0011,long_term_high_freq,0,large_high_freq_negative_0011,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001112,大样本非近期高频_low_count_0012,low_count,0,large_high_freq_negative_0012,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_000412,大样本非近期高频_low_lift_0013,low_lift,0,large_high_freq_negative_0013,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_001723,大样本非近期高频_low_concentration_0014,low_concentration,0,large_high_freq_negative_0014,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001730,大样本非近期高频_long_term_high_freq_0015,long_term_high_freq,0,large_high_freq_negative_0015,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000460,大样本非近期高频_low_count_0016,low_count,0,large_high_freq_negative_0016,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001250,大样本非近期高频_low_lift_0017,low_lift,0,large_high_freq_negative_0017,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000185,大样本非近期高频_low_concentration_0018,low_concentration,0,large_high_freq_negative_0018,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000236,大样本非近期高频_long_term_high_freq_0019,long_term_high_freq,0,large_high_freq_negative_0019,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001207,大样本非近期高频_low_count_0020,low_count,0,large_high_freq_negative_0020,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_000797,大样本非近期高频_low_lift_0021,low_lift,0,large_high_freq_negative_0021,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000060,大样本非近期高频_low_concentration_0022,low_concentration,0,large_high_freq_negative_0022,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001237,大样本非近期高频_long_term_high_freq_0023,long_term_high_freq,0,large_high_freq_negative_0023,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000351,大样本非近期高频_low_count_0024,low_count,0,large_high_freq_negative_0024,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001350,大样本非近期高频_low_lift_0025,low_lift,0,large_high_freq_negative_0025,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_001194,大样本非近期高频_low_concentration_0026,low_concentration,0,large_high_freq_negative_0026,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000857,大样本非近期高频_long_term_high_freq_0027,long_term_high_freq,0,large_high_freq_negative_0027,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001564,大样本非近期高频_low_count_0028,low_count,0,large_high_freq_negative_0028,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_000169,大样本非近期高频_low_lift_0029,low_lift,0,large_high_freq_negative_0029,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000139,大样本非近期高频_low_concentration_0030,low_concentration,0,large_high_freq_negative_0030,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001054,大样本非近期高频_long_term_high_freq_0031,long_term_high_freq,0,large_high_freq_negative_0031,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000481,大样本非近期高频_low_count_0032,low_count,0,large_high_freq_negative_0032,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001369,大样本非近期高频_low_lift_0033,low_lift,0,large_high_freq_negative_0033,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000080,大样本非近期高频_low_concentration_0034,low_concentration,0,large_high_freq_negative_0034,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000852,大样本非近期高频_long_term_high_freq_0035,long_term_high_freq,0,large_high_freq_negative_0035,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001704,大样本非近期高频_low_count_0036,low_count,0,large_high_freq_negative_0036,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_000356,大样本非近期高频_low_lift_0037,low_lift,0,large_high_freq_negative_0037,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000915,大样本非近期高频_low_concentration_0038,low_concentration,0,large_high_freq_negative_0038,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000787,大样本非近期高频_long_term_high_freq_0039,long_term_high_freq,0,large_high_freq_negative_0039,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001248,大样本非近期高频_low_count_0040,low_count,0,large_high_freq_negative_0040,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001868,大样本非近期高频_low_lift_0041,low_lift,0,large_high_freq_negative_0041,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_001941,大样本非近期高频_low_concentration_0042,low_concentration,0,large_high_freq_negative_0042,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001944,大样本非近期高频_long_term_high_freq_0043,long_term_high_freq,0,large_high_freq_negative_0043,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001734,大样本非近期高频_low_count_0044,low_count,0,large_high_freq_negative_0044,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001371,大样本非近期高频_low_lift_0045,low_lift,0,large_high_freq_negative_0045,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_001900,大样本非近期高频_low_concentration_0046,low_concentration,0,large_high_freq_negative_0046,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000810,大样本非近期高频_long_term_high_freq_0047,long_term_high_freq,0,large_high_freq_negative_0047,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000685,大样本非近期高频_low_count_0048,low_count,0,large_high_freq_negative_0048,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001581,大样本非近期高频_low_lift_0049,low_lift,0,large_high_freq_negative_0049,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000639,大样本非近期高频_low_concentration_0050,low_concentration,0,large_high_freq_negative_0050,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001426,大样本非近期高频_long_term_high_freq_0051,long_term_high_freq,0,large_high_freq_negative_0051,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001895,大样本非近期高频_low_count_0052,low_count,0,large_high_freq_negative_0052,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001296,大样本非近期高频_low_lift_0053,low_lift,0,large_high_freq_negative_0053,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000179,大样本非近期高频_low_concentration_0054,low_concentration,0,large_high_freq_negative_0054,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000203,大样本非近期高频_long_term_high_freq_0055,long_term_high_freq,0,large_high_freq_negative_0055,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000076,大样本非近期高频_low_count_0056,low_count,0,large_high_freq_negative_0056,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001956,大样本非近期高频_low_lift_0057,low_lift,0,large_high_freq_negative_0057,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_001856,大样本非近期高频_low_concentration_0058,low_concentration,0,large_high_freq_negative_0058,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001955,大样本非近期高频_long_term_high_freq_0059,long_term_high_freq,0,large_high_freq_negative_0059,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000042,大样本非近期高频_low_count_0060,low_count,0,large_high_freq_negative_0060,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001396,大样本非近期高频_low_lift_0061,low_lift,0,large_high_freq_negative_0061,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000056,大样本非近期高频_low_concentration_0062,low_concentration,0,large_high_freq_negative_0062,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001221,大样本非近期高频_long_term_high_freq_0063,long_term_high_freq,0,large_high_freq_negative_0063,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000364,大样本非近期高频_low_count_0064,low_count,0,large_high_freq_negative_0064,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_000057,大样本非近期高频_low_lift_0065,low_lift,0,large_high_freq_negative_0065,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000745,大样本非近期高频_low_concentration_0066,low_concentration,0,large_high_freq_negative_0066,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000713,大样本非近期高频_long_term_high_freq_0067,long_term_high_freq,0,large_high_freq_negative_0067,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001674,大样本非近期高频_low_count_0068,low_count,0,large_high_freq_negative_0068,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001364,大样本非近期高频_low_lift_0069,low_lift,0,large_high_freq_negative_0069,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000452,大样本非近期高频_low_concentration_0070,low_concentration,0,large_high_freq_negative_0070,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001683,大样本非近期高频_long_term_high_freq_0071,long_term_high_freq,0,large_high_freq_negative_0071,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001628,大样本非近期高频_low_count_0072,low_count,0,large_high_freq_negative_0072,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_000702,大样本非近期高频_low_lift_0073,low_lift,0,large_high_freq_negative_0073,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000837,大样本非近期高频_low_concentration_0074,low_concentration,0,large_high_freq_negative_0074,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001401,大样本非近期高频_long_term_high_freq_0075,long_term_high_freq,0,large_high_freq_negative_0075,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000653,大样本非近期高频_low_count_0076,low_count,0,large_high_freq_negative_0076,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001527,大样本非近期高频_low_lift_0077,low_lift,0,large_high_freq_negative_0077,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000941,大样本非近期高频_low_concentration_0078,low_concentration,0,large_high_freq_negative_0078,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000771,大样本非近期高频_long_term_high_freq_0079,long_term_high_freq,0,large_high_freq_negative_0079,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001566,大样本非近期高频_low_count_0080,low_count,0,large_high_freq_negative_0080,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001882,大样本非近期高频_low_lift_0081,low_lift,0,large_high_freq_negative_0081,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000428,大样本非近期高频_low_concentration_0082,low_concentration,0,large_high_freq_negative_0082,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001404,大样本非近期高频_long_term_high_freq_0083,long_term_high_freq,0,large_high_freq_negative_0083,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000528,大样本非近期高频_low_count_0084,low_count,0,large_high_freq_negative_0084,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_000769,大样本非近期高频_low_lift_0085,low_lift,0,large_high_freq_negative_0085,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000918,大样本非近期高频_low_concentration_0086,low_concentration,0,large_high_freq_negative_0086,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000361,大样本非近期高频_long_term_high_freq_0087,long_term_high_freq,0,large_high_freq_negative_0087,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000088,大样本非近期高频_low_count_0088,low_count,0,large_high_freq_negative_0088,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_000222,大样本非近期高频_low_lift_0089,low_lift,0,large_high_freq_negative_0089,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_001586,大样本非近期高频_low_concentration_0090,low_concentration,0,large_high_freq_negative_0090,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001459,大样本非近期高频_long_term_high_freq_0091,long_term_high_freq,0,large_high_freq_negative_0091,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001515,大样本非近期高频_low_count_0092,low_count,0,large_high_freq_negative_0092,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_000044,大样本非近期高频_low_lift_0093,low_lift,0,large_high_freq_negative_0093,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000411,大样本非近期高频_low_concentration_0094,low_concentration,0,large_high_freq_negative_0094,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001832,大样本非近期高频_long_term_high_freq_0095,long_term_high_freq,0,large_high_freq_negative_0095,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000635,大样本非近期高频_low_count_0096,low_count,0,large_high_freq_negative_0096,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001709,大样本非近期高频_low_lift_0097,low_lift,0,large_high_freq_negative_0097,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_001733,大样本非近期高频_low_concentration_0098,low_concentration,0,large_high_freq_negative_0098,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001188,大样本非近期高频_long_term_high_freq_0099,long_term_high_freq,0,large_high_freq_negative_0099,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001082,大样本非近期高频_low_count_0100,low_count,0,large_high_freq_negative_0100,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001397,大样本非近期高频_low_lift_0101,low_lift,0,large_high_freq_negative_0101,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_001773,大样本非近期高频_low_concentration_0102,low_concentration,0,large_high_freq_negative_0102,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000839,大样本非近期高频_long_term_high_freq_0103,long_term_high_freq,0,large_high_freq_negative_0103,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001393,大样本非近期高频_low_count_0104,low_count,0,large_high_freq_negative_0104,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_000550,大样本非近期高频_low_lift_0105,low_lift,0,large_high_freq_negative_0105,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000718,大样本非近期高频_low_concentration_0106,low_concentration,0,large_high_freq_negative_0106,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001962,大样本非近期高频_long_term_high_freq_0107,long_term_high_freq,0,large_high_freq_negative_0107,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000324,大样本非近期高频_low_count_0108,low_count,0,large_high_freq_negative_0108,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001951,大样本非近期高频_low_lift_0109,low_lift,0,large_high_freq_negative_0109,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_001961,大样本非近期高频_low_concentration_0110,low_concentration,0,large_high_freq_negative_0110,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_000429,大样本非近期高频_long_term_high_freq_0111,long_term_high_freq,0,large_high_freq_negative_0111,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_001189,大样本非近期高频_low_count_0112,low_count,0,large_high_freq_negative_0112,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
user_001544,大样本非近期高频_low_lift_0113,low_lift,0,large_high_freq_negative_0113,2.0,4,10,2.0,0.4,should_not_be_recent_high_frequency
user_000078,大样本非近期高频_low_concentration_0114,low_concentration,0,large_high_freq_negative_0114,2.6666666666666665,4,12,1.5,0.333333,should_not_be_recent_high_frequency
user_001477,大样本非近期高频_long_term_high_freq_0115,long_term_high_freq,0,large_high_freq_negative_0115,8.0,6,30,0.75,0.2,should_not_be_recent_high_frequency
user_000021,大样本非近期高频_low_count_0116,low_count,0,large_high_freq_negative_0116,0.0,3,3,6.0,1.0,should_not_be_recent_high_frequency
