user_id,action_name,period_type,period_value,next_expected_time,positive_label,pattern_id,pattern_strength,jitter_days,missing_occurrence_count
user_001605,大样本周期_daily_0000,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0000,strong,0,0
user_000552,大样本周期_weekly_0001,weekly,weekday 1,2026-07-07 06:00:00,1,large_periodic_0001,strong,0,0
user_001444,大样本周期_monthly_0002,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0002,strong,0,0
user_000971,大样本周期_interval_0003,interval,every 9 days,2026-07-09 18:00:00,1,large_periodic_0003,strong,0,0
user_001757,大样本周期_daily_0004,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0004,weak,0,1
user_000683,大样本周期_weekly_0005,weekly,weekday 5,2026-07-04 06:00:00,1,large_periodic_0005,weak,1,1
user_001707,大样本周期_monthly_0006,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0006,weak,1,1
user_000580,大样本周期_interval_0007,interval,every 11 days,2026-07-10 18:00:00,1,large_periodic_0007,weak,0,0
user_000747,大样本周期_daily_0008,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0008,strong,0,0
user_001529,大样本周期_weekly_0009,weekly,weekday 2,2026-07-01 06:00:00,1,large_periodic_0009,strong,0,0
user_000062,大样本周期_monthly_0010,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0010,strong,0,0
user_000197,大样本周期_interval_0011,interval,every 13 days,2026-07-11 18:00:00,1,large_periodic_0011,strong,0,0
user_000248,大样本周期_daily_0012,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0012,weak,0,1
user_001337,大样本周期_weekly_0013,weekly,weekday 6,2026-07-05 06:00:00,1,large_periodic_0013,weak,1,1
user_000948,大样本周期_monthly_0014,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0014,weak,1,1
user_000150,大样本周期_interval_0015,interval,every 17 days,2026-07-17 18:00:00,1,large_periodic_0015,weak,0,0
user_001702,大样本周期_daily_0016,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0016,strong,0,0
user_001269,大样本周期_weekly_0017,weekly,weekday 3,2026-07-02 06:00:00,1,large_periodic_0017,strong,0,0
user_001170,大样本周期_monthly_0018,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0018,strong,0,0
user_001876,大样本周期_interval_0019,interval,every 9 days,2026-07-08 18:00:00,1,large_periodic_0019,strong,0,0
user_000350,大样本周期_daily_0020,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0020,weak,0,1
user_000039,大样本周期_weekly_0021,weekly,weekday 0,2026-07-06 06:00:00,1,large_periodic_0021,weak,1,1
user_001342,大样本周期_monthly_0022,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0022,weak,1,1
user_001869,大样本周期_interval_0023,interval,every 11 days,2026-07-09 18:00:00,1,large_periodic_0023,weak,0,0
user_001837,大样本周期_daily_0024,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0024,strong,0,0
user_001818,大样本周期_weekly_0025,weekly,weekday 4,2026-07-03 06:00:00,1,large_periodic_0025,strong,0,0
user_000054,大样本周期_monthly_0026,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0026,strong,0,0
user_001386,大样本周期_interval_0027,interval,every 13 days,2026-07-13 18:00:00,1,large_periodic_0027,strong,0,0
user_000994,大样本周期_daily_0028,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0028,weak,0,1
user_001105,大样本周期_weekly_0029,weekly,weekday 1,2026-07-07 06:00:00,1,large_periodic_0029,weak,1,1
user_000034,大样本周期_monthly_0030,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0030,weak,1,1
user_000491,大样本周期_interval_0031,interval,every 17 days,2026-07-16 18:00:00,1,large_periodic_0031,weak,0,0
user_000760,大样本周期_daily_0032,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0032,strong,0,0
user_000147,大样本周期_weekly_0033,weekly,weekday 5,2026-07-04 06:00:00,1,large_periodic_0033,strong,0,0
user_000724,大样本周期_monthly_0034,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0034,strong,0,0
user_000548,大样本周期_interval_0035,interval,every 9 days,2026-07-07 18:00:00,1,large_periodic_0035,strong,0,0
user_000043,大样本周期_daily_0036,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0036,weak,0,1
user_000740,大样本周期_weekly_0037,weekly,weekday 2,2026-07-01 06:00:00,1,large_periodic_0037,weak,1,1
user_001979,大样本周期_monthly_0038,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0038,weak,1,1
user_000167,大样本周期_interval_0039,interval,every 11 days,2026-07-11 18:00:00,1,large_periodic_0039,weak,0,0
user_000288,大样本周期_daily_0040,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0040,strong,0,0
user_000669,大样本周期_weekly_0041,weekly,weekday 6,2026-07-05 06:00:00,1,large_periodic_0041,strong,0,0
user_000269,大样本周期_monthly_0042,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0042,strong,0,0
user_000675,大样本周期_interval_0043,interval,every 13 days,2026-07-12 18:00:00,1,large_periodic_0043,strong,0,0
user_000418,大样本周期_daily_0044,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0044,weak,0,1
user_000049,大样本周期_weekly_0045,weekly,weekday 3,2026-07-02 06:00:00,1,large_periodic_0045,weak,1,1
user_001079,大样本周期_monthly_0046,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0046,weak,1,1
user_000873,大样本周期_interval_0047,interval,every 17 days,2026-07-15 18:00:00,1,large_periodic_0047,weak,0,0
user_000002,大样本周期_daily_0048,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0048,strong,0,0
user_000716,大样本周期_weekly_0049,weekly,weekday 0,2026-07-06 06:00:00,1,large_periodic_0049,strong,0,0
user_001094,大样本周期_monthly_0050,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0050,strong,0,0
user_001469,大样本周期_interval_0051,interval,every 9 days,2026-07-09 18:00:00,1,large_periodic_0051,strong,0,0
user_001139,大样本周期_daily_0052,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0052,weak,0,1
user_000914,大样本周期_weekly_0053,weekly,weekday 4,2026-07-03 06:00:00,1,large_periodic_0053,weak,1,1
user_000438,大样本周期_monthly_0054,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0054,weak,1,1
user_001631,大样本周期_interval_0055,interval,every 11 days,2026-07-10 18:00:00,1,large_periodic_0055,weak,0,0
user_001854,大样本周期_daily_0056,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0056,strong,0,0
user_000334,大样本周期_weekly_0057,weekly,weekday 1,2026-07-07 06:00:00,1,large_periodic_0057,strong,0,0
user_000287,大样本周期_monthly_0058,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0058,strong,0,0
user_000905,大样本周期_interval_0059,interval,every 13 days,2026-07-11 18:00:00,1,large_periodic_0059,strong,0,0
user_001163,大样本周期_daily_0060,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0060,weak,0,1
user_001441,大样本周期_weekly_0061,weekly,weekday 5,2026-07-04 06:00:00,1,large_periodic_0061,weak,1,1
user_001952,大样本周期_monthly_0062,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0062,weak,1,1
user_000964,大样本周期_interval_0063,interval,every 17 days,2026-07-17 18:00:00,1,large_periodic_0063,weak,0,0
user_000761,大样本周期_daily_0064,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0064,strong,0,0
user_000870,大样本周期_weekly_0065,weekly,weekday 2,2026-07-01 06:00:00,1,large_periodic_0065,strong,0,0
user_001649,大样本周期_monthly_0066,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0066,strong,0,0
user_000172,大样本周期_interval_0067,interval,every 9 days,2026-07-08 18:00:00,1,large_periodic_0067,strong,0,0
user_001508,大样本周期_daily_0068,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0068,weak,0,1
user_001121,大样本周期_weekly_0069,weekly,weekday 6,2026-07-05 06:00:00,1,large_periodic_0069,weak,1,1
user_001591,大样本周期_monthly_0070,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0070,weak,1,1
user_001037,大样本周期_interval_0071,interval,every 11 days,2026-07-09 18:00:00,1,large_periodic_0071,weak,0,0
user_000359,大样本周期_daily_0072,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0072,strong,0,0
user_001174,大样本周期_weekly_0073,weekly,weekday 3,2026-07-02 06:00:00,1,large_periodic_0073,strong,0,0
user_001048,大样本周期_monthly_0074,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0074,strong,0,0
user_000224,大样本周期_interval_0075,interval,every 13 days,2026-07-13 18:00:00,1,large_periodic_0075,strong,0,0
user_000215,大样本周期_daily_0076,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0076,weak,0,1
user_000723,大样本周期_weekly_0077,weekly,weekday 0,2026-07-06 06:00:00,1,large_periodic_0077,weak,1,1
user_001457,大样本周期_monthly_0078,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0078,weak,1,1
user_001061,大样本周期_interval_0079,interval,every 17 days,2026-07-16 18:00:00,1,large_periodic_0079,weak,0,0
user_001938,大样本周期_daily_0080,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0080,strong,0,0
user_001057,大样本周期_weekly_0081,weekly,weekday 4,2026-07-03 06:00:00,1,large_periodic_0081,strong,0,0
user_000931,大样本周期_monthly_0082,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0082,strong,0,0
user_001796,大样本周期_interval_0083,interval,every 9 days,2026-07-07 18:00:00,1,large_periodic_0083,strong,0,0
user_000214,大样本周期_daily_0084,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0084,weak,0,1
user_000815,大样本周期_weekly_0085,weekly,weekday 1,2026-07-07 06:00:00,1,large_periodic_0085,weak,1,1
user_000910,大样本周期_monthly_0086,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0086,weak,1,1
user_001858,大样本周期_interval_0087,interval,every 11 days,2026-07-11 18:00:00,1,large_periodic_0087,weak,0,0
user_000225,大样本周期_daily_0088,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0088,strong,0,0
user_001543,大样本周期_weekly_0089,weekly,weekday 5,2026-07-04 06:00:00,1,large_periodic_0089,strong,0,0
user_001989,大样本周期_monthly_0090,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0090,strong,0,0
user_000650,大样本周期_interval_0091,interval,every 13 days,2026-07-12 18:00:00,1,large_periodic_0091,strong,0,0
user_001847,大样本周期_daily_0092,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0092,weak,0,1
user_000124,大样本周期_weekly_0093,weekly,weekday 2,2026-07-01 06:00:00,1,large_periodic_0093,weak,1,1
user_000136,大样本周期_monthly_0094,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0094,weak,1,1
user_001963,大样本周期_interval_0095,interval,every 17 days,2026-07-15 18:00:00,1,large_periodic_0095,weak,0,0
user_000240,大样本周期_daily_0096,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0096,strong,0,0
user_000827,大样本周期_weekly_0097,weekly,weekday 6,2026-07-05 06:00:00,1,large_periodic_0097,strong,0,0
user_001319,大样本周期_monthly_0098,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0098,strong,0,0
user_001097,大样本周期_interval_0099,interval,every 9 days,2026-07-09 18:00:00,1,large_periodic_0099,strong,0,0
user_001340,大样本周期_daily_0100,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0100,weak,0,1
user_001528,大样本周期_weekly_0101,weekly,weekday 3,2026-07-02 06:00:00,1,large_periodic_0101,weak,1,1
user_000404,大样本周期_monthly_0102,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0102,weak,1,1
user_000433,大样本周期_interval_0103,interval,every 11 days,2026-07-10 18:00:00,1,large_periodic_0103,weak,0,0
user_000063,大样本周期_daily_0104,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0104,strong,0,0
user_001288,大样本周期_weekly_0105,weekly,weekday 0,2026-07-06 06:00:00,1,large_periodic_0105,strong,0,0
user_000229,大样本周期_monthly_0106,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0106,strong,0,0
user_000352,大样本周期_interval_0107,interval,every 13 days,2026-07-11 18:00:00,1,large_periodic_0107,strong,0,0
user_000520,大样本周期_daily_0108,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0108,weak,0,1
user_000355,大样本周期_weekly_0109,weekly,weekday 4,2026-07-03 06:00:00,1,large_periodic_0109,weak,1,1
user_001014,大样本周期_monthly_0110,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0110,weak,1,1
user_000292,大样本周期_interval_0111,interval,every 17 days,2026-07-17 18:00:00,1,large_periodic_0111,weak,0,0
user_001083,大样本周期_daily_0112,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0112,strong,0,0
user_001987,大样本周期_weekly_0113,weekly,weekday 1,2026-07-07 06:00:00,1,large_periodic_0113,strong,0,0
user_001008,大样本周期_monthly_0114,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0114,strong,0,0
user_001034,大样本周期_interval_0115,interval,every 9 days,2026-07-08 18:00:00,1,large_periodic_0115,strong,0,0
user_001642,大样本周期_daily_0116,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0116,weak,0,1
user_001691,大样本周期_weekly_0117,weekly,weekday 5,2026-07-04 06:00:00,1,large_periodic_0117,weak,1,1
user_001519,大样本周期_monthly_0118,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0118,weak,1,1
user_001439,大样本周期_interval_0119,interval,every 11 days,2026-07-09 18:00:00,1,large_periodic_0119,weak,0,0
user_000900,大样本周期_daily_0120,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0120,strong,0,0
user_000286,大样本周期_weekly_0121,weekly,weekday 2,2026-07-01 06:00:00,1,large_periodic_0121,strong,0,0
user_000506,大样本周期_monthly_0122,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0122,strong,0,0
user_001148,大样本周期_interval_0123,interval,every 13 days,2026-07-13 18:00:00,1,large_periodic_0123,strong,0,0
user_000662,大样本周期_daily_0124,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0124,weak,0,1
user_001123,大样本周期_weekly_0125,weekly,weekday 6,2026-07-05 06:00:00,1,large_periodic_0125,weak,1,1
user_001363,大样本周期_monthly_0126,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0126,weak,1,1
user_000064,大样本周期_interval_0127,interval,every 17 days,2026-07-16 18:00:00,1,large_periodic_0127,weak,0,0
user_000752,大样本周期_daily_0128,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0128,strong,0,0
user_000542,大样本周期_weekly_0129,weekly,weekday 3,2026-07-02 06:00:00,1,large_periodic_0129,strong,0,0
user_000689,大样本周期_monthly_0130,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0130,strong,0,0
user_001199,大样本周期_interval_0131,interval,every 9 days,2026-07-07 18:00:00,1,large_periodic_0131,strong,0,0
user_000930,大样本周期_daily_0132,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0132,weak,0,1
user_000518,大样本周期_weekly_0133,weekly,weekday 0,2026-07-06 06:00:00,1,large_periodic_0133,weak,1,1
user_000227,大样本周期_monthly_0134,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0134,weak,1,1
user_000469,大样本周期_interval_0135,interval,every 11 days,2026-07-11 18:00:00,1,large_periodic_0135,weak,0,0
user_001312,大样本周期_daily_0136,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0136,strong,0,0
user_001826,大样本周期_weekly_0137,weekly,weekday 4,2026-07-03 06:00:00,1,large_periodic_0137,strong,0,0
user_001744,大样本周期_monthly_0138,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0138,strong,0,0
user_001554,大样本周期_interval_0139,interval,every 13 days,2026-07-12 18:00:00,1,large_periodic_0139,strong,0,0
user_001525,大样本周期_daily_0140,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0140,weak,0,1
user_000755,大样本周期_weekly_0141,weekly,weekday 1,2026-07-07 06:00:00,1,large_periodic_0141,weak,1,1
user_000706,大样本周期_monthly_0142,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0142,weak,1,1
user_000479,大样本周期_interval_0143,interval,every 17 days,2026-07-15 18:00:00,1,large_periodic_0143,weak,0,0
user_001006,大样本周期_daily_0144,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0144,strong,0,0
user_001463,大样本周期_weekly_0145,weekly,weekday 5,2026-07-04 06:00:00,1,large_periodic_0145,strong,0,0
user_000887,大样本周期_monthly_0146,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0146,strong,0,0
user_001998,大样本周期_interval_0147,interval,every 9 days,2026-07-09 18:00:00,1,large_periodic_0147,strong,0,0
user_001530,大样本周期_daily_0148,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0148,weak,0,1
user_001768,大样本周期_weekly_0149,weekly,weekday 2,2026-07-01 06:00:00,1,large_periodic_0149,weak,1,1
user_000813,大样本周期_monthly_0150,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0150,weak,1,1
user_000765,大样本周期_interval_0151,interval,every 11 days,2026-07-10 18:00:00,1,large_periodic_0151,weak,0,0
user_000682,大样本周期_daily_0152,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0152,strong,0,0
user_000727,大样本周期_weekly_0153,weekly,weekday 6,2026-07-05 06:00:00,1,large_periodic_0153,strong,0,0
user_001556,大样本周期_monthly_0154,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0154,strong,0,0
user_001811,大样本周期_interval_0155,interval,every 13 days,2026-07-11 18:00:00,1,large_periodic_0155,strong,0,0
user_000489,大样本周期_daily_0156,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0156,weak,0,1
user_001111,大样本周期_weekly_0157,weekly,weekday 3,2026-07-02 06:00:00,1,large_periodic_0157,weak,1,1
user_000282,大样本周期_monthly_0158,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0158,weak,1,1
user_001283,大样本周期_interval_0159,interval,every 17 days,2026-07-17 18:00:00,1,large_periodic_0159,weak,0,0
user_001344,大样本周期_daily_0160,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0160,strong,0,0
user_001252,大样本周期_weekly_0161,weekly,weekday 0,2026-07-06 06:00:00,1,large_periodic_0161,strong,0,0
user_001877,大样本周期_monthly_0162,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0162,strong,0,0
user_000527,大样本周期_interval_0163,interval,every 9 days,2026-07-08 18:00:00,1,large_periodic_0163,strong,0,0
user_000025,大样本周期_daily_0164,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0164,weak,0,1
user_000926,大样本周期_weekly_0165,weekly,weekday 4,2026-07-03 06:00:00,1,large_periodic_0165,weak,1,1
user_001035,大样本周期_monthly_0166,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0166,weak,1,1
user_000201,大样本周期_interval_0167,interval,every 11 days,2026-07-09 18:00:00,1,large_periodic_0167,weak,0,0
user_000314,大样本周期_daily_0168,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0168,strong,0,0
user_001977,大样本周期_weekly_0169,weekly,weekday 1,2026-07-07 06:00:00,1,large_periodic_0169,strong,0,0
user_001651,大样本周期_monthly_0170,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0170,strong,0,0
user_000753,大样本周期_interval_0171,interval,every 13 days,2026-07-13 18:00:00,1,large_periodic_0171,strong,0,0
user_001658,大样本周期_daily_0172,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0172,weak,0,1
user_000459,大样本周期_weekly_0173,weekly,weekday 5,2026-07-04 06:00:00,1,large_periodic_0173,weak,1,1
user_001664,大样本周期_monthly_0174,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0174,weak,1,1
user_001497,大样本周期_interval_0175,interval,every 17 days,2026-07-16 18:00:00,1,large_periodic_0175,weak,0,0
user_000273,大样本周期_daily_0176,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0176,strong,0,0
user_000104,大样本周期_weekly_0177,weekly,weekday 2,2026-07-01 06:00:00,1,large_periodic_0177,strong,0,0
user_001498,大样本周期_monthly_0178,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0178,strong,0,0
user_000978,大样本周期_interval_0179,interval,every 9 days,2026-07-07 18:00:00,1,large_periodic_0179,strong,0,0
user_001009,大样本周期_daily_0180,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0180,weak,0,1
user_000360,大样本周期_weekly_0181,weekly,weekday 6,2026-07-05 06:00:00,1,large_periodic_0181,weak,1,1
user_000474,大样本周期_monthly_0182,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0182,weak,1,1
user_001461,大样本周期_interval_0183,interval,every 11 days,2026-07-11 18:00:00,1,large_periodic_0183,weak,0,0
user_000661,大样本周期_daily_0184,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0184,strong,0,0
user_000789,大样本周期_weekly_0185,weekly,weekday 3,2026-07-02 06:00:00,1,large_periodic_0185,strong,0,0
user_000775,大样本周期_monthly_0186,monthly,day 28,2026-07-28 12:00:00,1,large_periodic_0186,strong,0,0
user_000394,大样本周期_interval_0187,interval,every 13 days,2026-07-12 18:00:00,1,large_periodic_0187,strong,0,0
user_001761,大样本周期_daily_0188,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0188,weak,0,1
user_001062,大样本周期_weekly_0189,weekly,weekday 0,2026-07-06 06:00:00,1,large_periodic_0189,weak,1,1
user_000395,大样本周期_monthly_0190,monthly,day 30,2026-07-30 12:00:00,1,large_periodic_0190,weak,1,1
user_001318,大样本周期_interval_0191,interval,every 17 days,2026-07-15 18:00:00,1,large_periodic_0191,weak,0,0
user_000129,大样本周期_daily_0192,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0192,strong,0,0
user_000493,大样本周期_weekly_0193,weekly,weekday 4,2026-07-03 06:00:00,1,large_periodic_0193,strong,0,0
user_000762,大样本周期_monthly_0194,monthly,day 1,2026-07-01 12:00:00,1,large_periodic_0194,strong,0,0
user_000077,大样本周期_interval_0195,interval,every 9 days,2026-07-09 18:00:00,1,large_periodic_0195,strong,0,0
user_001726,大样本周期_daily_0196,daily,every 1 day,2026-07-01 05:00:00,1,large_periodic_0196,weak,0,1
user_001449,大样本周期_weekly_0197,weekly,weekday 1,2026-07-07 06:00:00,1,large_periodic_0197,weak,1,1
user_000537,大样本周期_monthly_0198,monthly,day 15,2026-07-15 12:00:00,1,large_periodic_0198,weak,1,1
user_000266,大样本周期_interval_0199,interval,every 11 days,2026-07-10 18:00:00,1,large_periodic_0199,weak,0,0
