user_id,sequence,sequence_length,support_count,next_action_candidate,positive_label,pattern_id
user_001605,大样本链路_0000_步骤1 -> 大样本链路_0000_步骤2,2,4,大样本链路_0000_步骤2,1,large_sequence_0000
user_000552,大样本链路_0001_步骤1 -> 大样本链路_0001_步骤2 -> 大样本链路_0001_步骤3,3,3,大样本链路_0001_步骤3,1,large_sequence_0001
user_001444,大样本链路_0002_步骤1 -> 大样本链路_0002_步骤2 -> 大样本链路_0002_步骤3 -> 大样本链路_0002_步骤4,4,3,大样本链路_0002_步骤4,1,large_sequence_0002
user_000971,大样本链路_0003_步骤1 -> 大样本链路_0003_步骤2 -> 大样本链路_0003_步骤3 -> 大样本链路_0003_步骤4 -> 大样本链路_0003_步骤5,5,3,大样本链路_0003_步骤5,1,large_sequence_0003
user_001757,大样本链路_0004_步骤1 -> 大样本链路_0004_步骤2,2,4,大样本链路_0004_步骤2,1,large_sequence_0004
user_000683,大样本链路_0005_步骤1 -> 大样本链路_0005_步骤2 -> 大样本链路_0005_步骤3,3,3,大样本链路_0005_步骤3,1,large_sequence_0005
user_001707,大样本链路_0006_步骤1 -> 大样本链路_0006_步骤2 -> 大样本链路_0006_步骤3 -> 大样本链路_0006_步骤4,4,3,大样本链路_0006_步骤4,1,large_sequence_0006
user_000580,大样本链路_0007_步骤1 -> 大样本链路_0007_步骤2 -> 大样本链路_0007_步骤3 -> 大样本链路_0007_步骤4 -> 大样本链路_0007_步骤5,5,3,大样本链路_0007_步骤5,1,large_sequence_0007
user_000747,大样本链路_0008_步骤1 -> 大样本链路_0008_步骤2,2,4,大样本链路_0008_步骤2,1,large_sequence_0008
user_001529,大样本链路_0009_步骤1 -> 大样本链路_0009_步骤2 -> 大样本链路_0009_步骤3,3,3,大样本链路_0009_步骤3,1,large_sequence_0009
user_000062,大样本链路_0010_步骤1 -> 大样本链路_0010_步骤2 -> 大样本链路_0010_步骤3 -> 大样本链路_0010_步骤4,4,3,大样本链路_0010_步骤4,1,large_sequence_0010
user_000197,大样本链路_0011_步骤1 -> 大样本链路_0011_步骤2 -> 大样本链路_0011_步骤3 -> 大样本链路_0011_步骤4 -> 大样本链路_0011_步骤5,5,3,大样本链路_0011_步骤5,1,large_sequence_0011
user_000248,大样本链路_0012_步骤1 -> 大样本链路_0012_步骤2,2,4,大样本链路_0012_步骤2,1,large_sequence_0012
user_001337,大样本链路_0013_步骤1 -> 大样本链路_0013_步骤2 -> 大样本链路_0013_步骤3,3,3,大样本链路_0013_步骤3,1,large_sequence_0013
user_000948,大样本链路_0014_步骤1 -> 大样本链路_0014_步骤2 -> 大样本链路_0014_步骤3 -> 大样本链路_0014_步骤4,4,3,大样本链路_0014_步骤4,1,large_sequence_0014
user_000150,大样本链路_0015_步骤1 -> 大样本链路_0015_步骤2 -> 大样本链路_0015_步骤3 -> 大样本链路_0015_步骤4 -> 大样本链路_0015_步骤5,5,3,大样本链路_0015_步骤5,1,large_sequence_0015
user_001702,大样本链路_0016_步骤1 -> 大样本链路_0016_步骤2,2,4,大样本链路_0016_步骤2,1,large_sequence_0016
user_001269,大样本链路_0017_步骤1 -> 大样本链路_0017_步骤2 -> 大样本链路_0017_步骤3,3,3,大样本链路_0017_步骤3,1,large_sequence_0017
user_001170,大样本链路_0018_步骤1 -> 大样本链路_0018_步骤2 -> 大样本链路_0018_步骤3 -> 大样本链路_0018_步骤4,4,3,大样本链路_0018_步骤4,1,large_sequence_0018
user_001876,大样本链路_0019_步骤1 -> 大样本链路_0019_步骤2 -> 大样本链路_0019_步骤3 -> 大样本链路_0019_步骤4 -> 大样本链路_0019_步骤5,5,3,大样本链路_0019_步骤5,1,large_sequence_0019
user_000350,大样本链路_0020_步骤1 -> 大样本链路_0020_步骤2,2,4,大样本链路_0020_步骤2,1,large_sequence_0020
user_000039,大样本链路_0021_步骤1 -> 大样本链路_0021_步骤2 -> 大样本链路_0021_步骤3,3,3,大样本链路_0021_步骤3,1,large_sequence_0021
user_001342,大样本链路_0022_步骤1 -> 大样本链路_0022_步骤2 -> 大样本链路_0022_步骤3 -> 大样本链路_0022_步骤4,4,3,大样本链路_0022_步骤4,1,large_sequence_0022
user_001869,大样本链路_0023_步骤1 -> 大样本链路_0023_步骤2 -> 大样本链路_0023_步骤3 -> 大样本链路_0023_步骤4 -> 大样本链路_0023_步骤5,5,3,大样本链路_0023_步骤5,1,large_sequence_0023
user_001837,大样本链路_0024_步骤1 -> 大样本链路_0024_步骤2,2,4,大样本链路_0024_步骤2,1,large_sequence_0024
user_001818,大样本链路_0025_步骤1 -> 大样本链路_0025_步骤2 -> 大样本链路_0025_步骤3,3,3,大样本链路_0025_步骤3,1,large_sequence_0025
user_000054,大样本链路_0026_步骤1 -> 大样本链路_0026_步骤2 -> 大样本链路_0026_步骤3 -> 大样本链路_0026_步骤4,4,3,大样本链路_0026_步骤4,1,large_sequence_0026
user_001386,大样本链路_0027_步骤1 -> 大样本链路_0027_步骤2 -> 大样本链路_0027_步骤3 -> 大样本链路_0027_步骤4 -> 大样本链路_0027_步骤5,5,3,大样本链路_0027_步骤5,1,large_sequence_0027
user_000994,大样本链路_0028_步骤1 -> 大样本链路_0028_步骤2,2,4,大样本链路_0028_步骤2,1,large_sequence_0028
user_001105,大样本链路_0029_步骤1 -> 大样本链路_0029_步骤2 -> 大样本链路_0029_步骤3,3,3,大样本链路_0029_步骤3,1,large_sequence_0029
user_000034,大样本链路_0030_步骤1 -> 大样本链路_0030_步骤2 -> 大样本链路_0030_步骤3 -> 大样本链路_0030_步骤4,4,3,大样本链路_0030_步骤4,1,large_sequence_0030
user_000491,大样本链路_0031_步骤1 -> 大样本链路_0031_步骤2 -> 大样本链路_0031_步骤3 -> 大样本链路_0031_步骤4 -> 大样本链路_0031_步骤5,5,3,大样本链路_0031_步骤5,1,large_sequence_0031
user_000760,大样本链路_0032_步骤1 -> 大样本链路_0032_步骤2,2,4,大样本链路_0032_步骤2,1,large_sequence_0032
