user_id,action_name,time_period,period_event_count,total_event_count,period_share,active_days,positive_label,pattern_id,reason
user_000663,大样本固定时段_early_morning_0000,early_morning,4,5,0.8,3,1,large_time_period_0000,fixed_time_period_high_frequency
user_000977,大样本固定时段_morning_0001,morning,4,5,0.8,3,1,large_time_period_0001,fixed_time_period_high_frequency
user_001950,大样本固定时段_afternoon_0002,afternoon,4,5,0.8,3,1,large_time_period_0002,fixed_time_period_high_frequency
user_000524,大样本固定时段_evening_0003,evening,4,5,0.8,3,1,large_time_period_0003,fixed_time_period_high_frequency
user_000592,大样本固定时段_early_morning_0004,early_morning,5,6,0.833333,5,1,large_time_period_0004,fixed_time_period_high_frequency
user_001375,大样本固定时段_morning_0005,morning,5,6,0.833333,5,1,large_time_period_0005,fixed_time_period_high_frequency
user_001446,大样本固定时段_afternoon_0006,afternoon,5,6,0.833333,5,1,large_time_period_0006,fixed_time_period_high_frequency
user_001412,大样本固定时段_evening_0007,evening,5,6,0.833333,5,1,large_time_period_0007,fixed_time_period_high_frequency
user_001142,大样本固定时段_early_morning_0008,early_morning,7,10,0.7,7,1,large_time_period_0008,fixed_time_period_high_frequency
user_001606,大样本固定时段_morning_0009,morning,7,10,0.7,7,1,large_time_period_0009,fixed_time_period_high_frequency
user_000163,大样本固定时段_afternoon_0010,afternoon,7,10,0.7,7,1,large_time_period_0010,fixed_time_period_high_frequency
user_001903,大样本固定时段_evening_0011,evening,7,10,0.7,7,1,large_time_period_0011,fixed_time_period_high_frequency
user_001601,大样本固定时段_early_morning_0012,early_morning,8,10,0.8,8,1,large_time_period_0012,fixed_time_period_high_frequency
user_000658,大样本固定时段_morning_0013,morning,8,10,0.8,8,1,large_time_period_0013,fixed_time_period_high_frequency
user_001960,大样本固定时段_afternoon_0014,afternoon,8,10,0.8,8,1,large_time_period_0014,fixed_time_period_high_frequency
user_001488,大样本固定时段_evening_0015,evening,8,10,0.8,8,1,large_time_period_0015,fixed_time_period_high_frequency
user_000921,大样本固定时段_early_morning_0016,early_morning,4,5,0.8,3,1,large_time_period_0016,fixed_time_period_high_frequency
user_001999,大样本固定时段_morning_0017,morning,4,5,0.8,3,1,large_time_period_0017,fixed_time_period_high_frequency
user_001031,大样本固定时段_afternoon_0018,afternoon,4,5,0.8,3,1,large_time_period_0018,fixed_time_period_high_frequency
user_001195,大样本固定时段_evening_0019,evening,4,5,0.8,3,1,large_time_period_0019,fixed_time_period_high_frequency
user_000466,大样本固定时段_early_morning_0020,early_morning,5,6,0.833333,5,1,large_time_period_0020,fixed_time_period_high_frequency
user_001505,大样本固定时段_morning_0021,morning,5,6,0.833333,5,1,large_time_period_0021,fixed_time_period_high_frequency
user_000796,大样本固定时段_afternoon_0022,afternoon,5,6,0.833333,5,1,large_time_period_0022,fixed_time_period_high_frequency
user_001219,大样本固定时段_evening_0023,evening,5,6,0.833333,5,1,large_time_period_0023,fixed_time_period_high_frequency
user_001533,大样本固定时段_early_morning_0024,early_morning,7,10,0.7,7,1,large_time_period_0024,fixed_time_period_high_frequency
user_000526,大样本固定时段_morning_0025,morning,7,10,0.7,7,1,large_time_period_0025,fixed_time_period_high_frequency
user_000328,大样本固定时段_afternoon_0026,afternoon,7,10,0.7,7,1,large_time_period_0026,fixed_time_period_high_frequency
user_000641,大样本固定时段_evening_0027,evening,7,10,0.7,7,1,large_time_period_0027,fixed_time_period_high_frequency
user_001545,大样本固定时段_early_morning_0028,early_morning,8,10,0.8,8,1,large_time_period_0028,fixed_time_period_high_frequency
user_001534,大样本固定时段_morning_0029,morning,8,10,0.8,8,1,large_time_period_0029,fixed_time_period_high_frequency
user_000995,大样本固定时段_afternoon_0030,afternoon,8,10,0.8,8,1,large_time_period_0030,fixed_time_period_high_frequency
user_001247,大样本固定时段_evening_0031,evening,8,10,0.8,8,1,large_time_period_0031,fixed_time_period_high_frequency
user_001849,大样本固定时段_early_morning_0032,early_morning,4,5,0.8,3,1,large_time_period_0032,fixed_time_period_high_frequency
user_001791,大样本固定时段_morning_0033,morning,4,5,0.8,3,1,large_time_period_0033,fixed_time_period_high_frequency
user_000283,大样本固定时段_afternoon_0034,afternoon,4,5,0.8,3,1,large_time_period_0034,fixed_time_period_high_frequency
user_000274,大样本固定时段_evening_0035,evening,4,5,0.8,3,1,large_time_period_0035,fixed_time_period_high_frequency
user_001915,大样本固定时段_early_morning_0036,early_morning,5,6,0.833333,5,1,large_time_period_0036,fixed_time_period_high_frequency
user_000707,大样本固定时段_morning_0037,morning,5,6,0.833333,5,1,large_time_period_0037,fixed_time_period_high_frequency
user_001090,大样本固定时段_afternoon_0038,afternoon,5,6,0.833333,5,1,large_time_period_0038,fixed_time_period_high_frequency
user_000122,大样本固定时段_evening_0039,evening,5,6,0.833333,5,1,large_time_period_0039,fixed_time_period_high_frequency
user_001935,大样本固定时段_early_morning_0040,early_morning,7,10,0.7,7,1,large_time_period_0040,fixed_time_period_high_frequency
user_000805,大样本固定时段_morning_0041,morning,7,10,0.7,7,1,large_time_period_0041,fixed_time_period_high_frequency
user_001745,大样本固定时段_afternoon_0042,afternoon,7,10,0.7,7,1,large_time_period_0042,fixed_time_period_high_frequency
user_001481,大样本固定时段_evening_0043,evening,7,10,0.7,7,1,large_time_period_0043,fixed_time_period_high_frequency
user_000507,大样本固定时段_early_morning_0044,early_morning,8,10,0.8,8,1,large_time_period_0044,fixed_time_period_high_frequency
user_000872,大样本固定时段_morning_0045,morning,8,10,0.8,8,1,large_time_period_0045,fixed_time_period_high_frequency
user_001532,大样本固定时段_afternoon_0046,afternoon,8,10,0.8,8,1,large_time_period_0046,fixed_time_period_high_frequency
user_001299,大样本固定时段_evening_0047,evening,8,10,0.8,8,1,large_time_period_0047,fixed_time_period_high_frequency
user_000766,大样本固定时段_early_morning_0048,early_morning,4,5,0.8,3,1,large_time_period_0048,fixed_time_period_high_frequency
user_000961,大样本固定时段_morning_0049,morning,4,5,0.8,3,1,large_time_period_0049,fixed_time_period_high_frequency
user_000792,大样本固定时段_afternoon_0050,afternoon,4,5,0.8,3,1,large_time_period_0050,fixed_time_period_high_frequency
user_001012,大样本固定时段_evening_0051,evening,4,5,0.8,3,1,large_time_period_0051,fixed_time_period_high_frequency
user_001095,大样本固定时段_early_morning_0052,early_morning,5,6,0.833333,5,1,large_time_period_0052,fixed_time_period_high_frequency
user_001168,大样本固定时段_morning_0053,morning,5,6,0.833333,5,1,large_time_period_0053,fixed_time_period_high_frequency
user_000069,大样本固定时段_afternoon_0054,afternoon,5,6,0.833333,5,1,large_time_period_0054,fixed_time_period_high_frequency
user_001309,大样本固定时段_evening_0055,evening,5,6,0.833333,5,1,large_time_period_0055,fixed_time_period_high_frequency
user_000237,大样本固定时段_early_morning_0056,early_morning,7,10,0.7,7,1,large_time_period_0056,fixed_time_period_high_frequency
user_001141,大样本固定时段_morning_0057,morning,7,10,0.7,7,1,large_time_period_0057,fixed_time_period_high_frequency
user_000664,大样本固定时段_afternoon_0058,afternoon,7,10,0.7,7,1,large_time_period_0058,fixed_time_period_high_frequency
user_001643,大样本固定时段_evening_0059,evening,7,10,0.7,7,1,large_time_period_0059,fixed_time_period_high_frequency
user_001576,大样本固定时段_early_morning_0060,early_morning,8,10,0.8,8,1,large_time_period_0060,fixed_time_period_high_frequency
user_000828,大样本固定时段_morning_0061,morning,8,10,0.8,8,1,large_time_period_0061,fixed_time_period_high_frequency
user_001423,大样本固定时段_afternoon_0062,afternoon,8,10,0.8,8,1,large_time_period_0062,fixed_time_period_high_frequency
user_000631,大样本固定时段_evening_0063,evening,8,10,0.8,8,1,large_time_period_0063,fixed_time_period_high_frequency
user_001897,大样本固定时段_early_morning_0064,early_morning,4,5,0.8,3,1,large_time_period_0064,fixed_time_period_high_frequency
user_001313,大样本固定时段_morning_0065,morning,4,5,0.8,3,1,large_time_period_0065,fixed_time_period_high_frequency
user_000851,大样本固定时段_afternoon_0066,afternoon,4,5,0.8,3,1,large_time_period_0066,fixed_time_period_high_frequency
user_001203,大样本固定时段_evening_0067,evening,4,5,0.8,3,1,large_time_period_0067,fixed_time_period_high_frequency
user_000786,大样本固定时段_early_morning_0068,early_morning,5,6,0.833333,5,1,large_time_period_0068,fixed_time_period_high_frequency
user_000366,大样本固定时段_morning_0069,morning,5,6,0.833333,5,1,large_time_period_0069,fixed_time_period_high_frequency
user_001662,大样本固定时段_afternoon_0070,afternoon,5,6,0.833333,5,1,large_time_period_0070,fixed_time_period_high_frequency
user_001231,大样本固定时段_evening_0071,evening,5,6,0.833333,5,1,large_time_period_0071,fixed_time_period_high_frequency
user_000390,大样本固定时段_early_morning_0072,early_morning,7,10,0.7,7,1,large_time_period_0072,fixed_time_period_high_frequency
user_000686,大样本固定时段_morning_0073,morning,7,10,0.7,7,1,large_time_period_0073,fixed_time_period_high_frequency
user_000773,大样本固定时段_afternoon_0074,afternoon,7,10,0.7,7,1,large_time_period_0074,fixed_time_period_high_frequency
user_001348,大样本固定时段_evening_0075,evening,7,10,0.7,7,1,large_time_period_0075,fixed_time_period_high_frequency
user_000326,大样本固定时段_early_morning_0076,early_morning,8,10,0.8,8,1,large_time_period_0076,fixed_time_period_high_frequency
user_001538,大样本固定时段_morning_0077,morning,8,10,0.8,8,1,large_time_period_0077,fixed_time_period_high_frequency
user_000023,大样本固定时段_afternoon_0078,afternoon,8,10,0.8,8,1,large_time_period_0078,fixed_time_period_high_frequency
user_001166,大样本固定时段_evening_0079,evening,8,10,0.8,8,1,large_time_period_0079,fixed_time_period_high_frequency
user_000824,大样本固定时段_early_morning_0080,early_morning,4,5,0.8,3,1,large_time_period_0080,fixed_time_period_high_frequency
user_001589,大样本固定时段_morning_0081,morning,4,5,0.8,3,1,large_time_period_0081,fixed_time_period_high_frequency
user_001901,大样本固定时段_afternoon_0082,afternoon,4,5,0.8,3,1,large_time_period_0082,fixed_time_period_high_frequency
user_000213,大样本固定时段_evening_0083,evening,4,5,0.8,3,1,large_time_period_0083,fixed_time_period_high_frequency
user_001560,大样本固定时段_early_morning_0084,early_morning,5,6,0.833333,5,1,large_time_period_0084,fixed_time_period_high_frequency
user_001954,大样本固定时段_morning_0085,morning,5,6,0.833333,5,1,large_time_period_0085,fixed_time_period_high_frequency
user_000986,大样本固定时段_afternoon_0086,afternoon,5,6,0.833333,5,1,large_time_period_0086,fixed_time_period_high_frequency
